MDCID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSError,MeanChargesStdErr,MeanCostStdErr
20,2,99825,4.300277644,3,15166.42476,10291,4791.9167,3228.719,5920.535474,0.225653493,493.5069972,156.6338131
20,3,119335,4.111366083,3,17890.41278,11696,4612.158763,3241.665,6059.591372,0.07537177,546.6924583,107.4590479
20,4,65275,5.178801408,3,30033.40588,19135,7656.700379,5183.504,3918.900626,0.41037238,1225.709398,261.4013863
21,0,526480,4.189167777,3,40974.44083,21943,10639.13382,6048.471,6128.91955,0.032851574,632.4433091,130.9956193
21,1,97085,4.45553068,3,43197.16716,22077,11018.30765,6272.207,2754.836225,0.08353316,1809.795233,294.4158166
21,2,119985,4.008876564,2,32971.54243,17965,10019.71232,5710.278,2860.320337,0.072779508,855.5274453,243.3671974
21,3,203770,4.259955686,3,38651.28309,21170,9672.92622,5486.211,3884.59791,0.052045808,876.4988017,209.7263751
21,4,105640,4.012591401,2,52773.51843,29248,12941.38435,7460.153,2589.015038,0.064496058,1783.843496,335.2885682
22,0,31710,8.885662253,4,113414.3309,38334,29225.77829,9389.856,3318.87174,0.408630703,7323.509614,1809.031666
22,1,5730,8.398777206,4,109151.5776,41319,23796.77266,10318.664,1184.025086,0.60113818,16351.52211,2049.502867
22,2,6100,8.495907494,4,94178.93615,33561,30069.92748,9909.58,839.4232353,0.501012101,11108.65404,4655.23457
22,3,13805,8.414848772,3,101890.82,36203,25489.21879,7639.5,2807.512062,0.796168798,9720.331179,2151.198607
22,4,6075,10.80575977,6,162156.1815,50795,42161.0029,14142.222,1013.034489,0.536768429,23338.89549,5075.579647
23,0,573785,10.23757741,8,43199.29583,30376,11842.90754,8767.17,13526.67559,0.107694451,796.7131741,176.8804384
23,1,101010,10.06262331,8,49038.24329,33374,13230.64414,9604.82,6180.512953,0.265607623,2336.540537,482.8135265
23,2,157820,9.988818377,8,34066.09193,26493,11312.1281,8891.035,6487.271516,0.159715259,767.267386,200.5374285
23,3,209260,10.14181804,8,38328.81263,28423,10002.63635,7741.939,8512.688052,0.170011573,977.6451575,181.5664459
23,4,105695,10.9665918,8,61341.6297,42952,15057.9054,10535.688,5497.423276,0.324930739,2434.418011,650.0778267
24,0,84235,8.904191435,6,135478.2671,85368,34521.75244,22830.973,3710.951457,0.121299593,3415.472252,587.9820432
24,1,12400,9.007262605,6,131471.0309,81229,31067.33022,20652.04,964.2708864,0.230373999,7857.648298,878.1330126
24,2,17255,8.346854478,6,111352.9824,71465,32353.81202,21195.621,1145.822899,0.174995448,3691.444826,886.8147435
24,3,35680,9.020179545,6,126848.891,84387,32284.79376,21898.166,3103.817115,0.203652864,4566.48764,897.0698287
24,4,18900,9.12645676,6,177490.3,105638,43267.03869,27973.11,1376.499753,0.303422589,10447.47668,1533.805744
25,0,51780,8.859966703,6,75530.96023,40444,19158.58316,10869.244,1683.996409,0.168362216,1814.6785,343.5432849
25,1,11640,9.472510065,6,82642.55733,42732,20770.09937,11628.36,948.2427941,0.362554795,5531.432206,853.5721174
25,2,6360,7.296383887,5,56024.73253,32211,16345.92123,9848.685,450.9866827,0.228132038,3308.467491,687.3447811
25,3,25125,8.774127916,6,66854.84881,37707,17067.91353,10042.172,1192.483149,0.194814137,1873.81698,387.4647974
25,4,8655,9.434656404,6,106541.5323,55675,25380.30914,13471.92,557.9197607,0.648812876,4709.674323,1147.738805
99,0,19200,0,0,31611.34274,13651,9848.855411,4591.284,2361.99571,0,2505.549852,918.831597
99,1,1380,0,0,50982.04057,19168,0,0,314.7402302,0,11958.41134,0
99,2,6160,0,0,18202.80502,5997,6968.900158,2056.788,1384.002523,0,2525.513921,1615.895245
99,3,9415,5.511685638,3,35951.35066,19859,9982.004884,5866.992,1776.872051,0.54764205,2732.826111,627.216643
99,4,2245,4.011145949,2,38157.47155,12080,13301.02635,5197.98,638.1418755,0.522770434,10295.65136,3137.863956
