DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanLOS,MedianLOS,MedianCharges,MeanCost,MedianCost,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
99,1,43940,1664,57489,5.6,4,32478,13636,8205,0.1,2661,436
99,2,53905,1906,41756,5,4,23766,12201,7209,0.105,1774,500
99,3,118855,2660,42896,4.8,3,25370,10596,6263,0.062,1305,358
99,4,38745,1415,67032,4.6,3,37238,15378,8620,0.092,4128,843
100,0,608795,9687,81197,4.5,3,57841,20246,15529,0.029,1033,157
100,1,111855,4148,78942,4.8,3,52637,19880,14708,0.075,3165,421
100,2,140300,4259,68245,4.3,3,52748,20144,16096,0.063,1343,271
100,3,246900,6758,78767,4.6,3,58159,18853,14770,0.042,1317,224
100,4,109740,3581,107041,4.2,3,73742,24198,17815,0.059,3112,434
101,0,397725,7732,85674,4.3,3,60913,20936,15529,0.039,1171,207
101,1,78270,3993,76331,4.1,3,51117,18600,13350,0.089,3216,459
101,2,87790,3368,76289,4.4,3,58282,22049,17432,0.077,1555,346
101,3,167965,5098,84326,4.5,3,62838,19785,15105,0.061,1542,316
101,4,63700,2549,115101,4.2,3,76666,25670,17633,0.086,3851,657
102,0,295820,5809,25449,2,2,20447,5895,5014,0.018,322,43
102,1,62100,3361,23619,2,2,17673,5804,4749,0.037,937,103
102,2,51950,1809,20698,2.1,2,17353,6140,5308,0.071,392,80
102,3,125890,3507,25856,2,2,21333,5576,4788,0.019,404,60
102,4,55880,2622,30966,1.7,1,25239,6507,5541,0.029,854,117
103,0,192235,2179,43588,5,4,27460,11564,7874,0.037,719,174
103,1,35400,972,49720,5.2,4,29974,12616,8588,0.087,2212,431
103,2,48480,1076,33690,4.7,4,23359,10467,7630,0.067,765,193
103,3,72640,1338,41656,5.3,4,26690,10801,7275,0.062,1045,301
103,4,35715,926,55457,4.6,3,35132,13686,9018,0.087,2052,495
104,0,10745,312,57720,4.2,3,33957,15068,9169,0.123,2346,592
104,1,2025,127,54092,4.3,3,31142,14258,9433,0.252,4451,996
104,2,2750,170,57784,4.3,3,32445,16671,9496,0.296,5949,1561
104,3,3655,180,53845,4.5,3,32728,13620,8037,0.216,3641,986
104,4,2315,142,67461,3.7,2,40427,16248,10184,0.186,4510,942
105,0,53610,879,70817,3.7,3,56104,17967,15429,0.038,997,199
105,1,12465,471,68739,3.8,3,53017,17878,15510,0.069,2273,370
105,2,12455,397,61204,3.7,3,48987,18055,15183,0.098,1907,551
105,3,18215,518,70757,3.8,3,57764,16990,14730,0.062,1402,269
105,4,10475,353,85790,3.2,2,69732,19833,17053,0.074,2729,448
106,0,665555,8329,40426,3.5,3,22912,10191,6211,0.018,566,98
106,1,139580,3853,43119,3.7,3,23946,10862,6702,0.033,1679,250
106,2,158370,3981,32116,3.4,3,19009,9681,6064,0.043,661,150
106,3,262725,5588,39178,3.6,3,22089,9394,5538,0.03,800,152
106,4,104880,2731,52933,3.2,2,31760,12164,7620,0.033,1576,261
107,0,22650,448,95429,5.4,3,48952,24366,13496,0.159,2365,518
107,1,4075,185,96582,6.6,3,43017,25010,13090,0.69,7484,1756
107,2,5170,203,82043,5.2,3,44188,24111,13382,0.221,3335,940
107,3,8715,291,83686,5,3,42029,20574,11312,0.176,3185,654
107,4,4690,201,133324,5.4,3,75633,31648,20309,0.255,6105,1102
108,0,901425,9638,44300,5.2,4,25200,11500,7191,0.034,777,162
108,1,178530,4346,50350,5.7,4,27471,12745,7994,0.077,2084,378
108,2,208545,4253,35341,5.1,4,21532,10930,7157,0.084,1159,292
108,3,370616,6680,40430,5.3,4,23622,10224,6343,0.048,978,233
108,4,143735,3360,60683,4.8,3,35359,14260,8743,0.068,2776,520
109,0,601640,8537,61826,5.6,4,34226,15378,9082,0.047,1200,224
109,1,108760,4021,68221,6,4,38143,16579,10128,0.11,3480,458
109,2,131835,3587,47391,5.1,3,28041,13988,8635,0.084,1393,353
109,3,246450,5685,55462,5.8,4,32200,13549,8142,0.075,1485,329
109,4,114595,3394,87823,5.5,3,45820,20126,11040,0.113,3858,711
110,0,99095,2000,42415,2.2,1,32741,10655,8773,0.025,609,106
110,1,15900,737,38894,2.3,1,28276,10089,8270,0.06,1678,234
110,2,24620,908,35993,2.1,1,29731,10634,8991,0.042,723,177
110,3,43810,1476,41773,2.2,1,32723,9966,8170,0.042,919,158
110,4,14765,674,59246,2.2,1,47135,13473,11137,0.053,1941,337
111,0,25440,1044,85614,3.7,2,61529,22382,17744,0.087,2993,625
111,1,5280,478,82909,3.8,2,51785,20279,15213,0.208,6925,1335
111,2,6075,463,72227,3.5,2,58402,21020,17855,0.158,3286,827
111,3,9290,651,77780,3.7,2,60608,21179,17707,0.153,2985,863
111,4,4795,472,122911,3.8,2,86079,29205,23625,0.184,9870,1890
112,0,132505,1954,27190,2.4,2,21933,6639,5691,0.023,330,52
112,1,27235,894,28181,2.7,2,22080,7211,6230,0.043,849,131
112,2,27140,791,20822,2.4,2,17867,6348,5567,0.071,375,86
112,3,57325,1355,26563,2.4,2,21904,6038,5254,0.028,483,72
112,4,20805,748,36007,2.2,2,29778,7964,6693,0.051,936,163
113,0,16570,472,37622,6.5,3,24642,10015,6586,0.516,1244,451
113,1,3295,193,47638,5.1,3,29062,10922,7105,0.272,4532,687
113,2,3745,206,30783,5.4,3,21810,9033,6294,0.359,1405,376
113,3,6600,301,30168,5.7,3,22381,8047,5885,0.449,1197,302
113,4,2930,227,52712,11.3,3,33085,15023,8637,2.606,2752,2222
114,0,138955,2187,65907,5.2,4,43567,16771,11777,0.048,965,185
114,1,27425,1122,63434,5.3,4,39637,16277,11282,0.124,2730,395
114,2,34015,1007,56156,5.1,4,39640,16757,12129,0.083,1153,279
114,3,55870,1434,65844,5.4,4,44569,15894,11366,0.081,1470,324
114,4,21645,675,85266,5,3,55517,19875,13494,0.103,2879,503
115,0,83085,2285,135422,5.6,3,96546,34656,26780,0.105,3417,600
115,1,15700,1033,132950,5.8,3,88137,32171,25242,0.237,9270,899
115,2,20300,1316,114638,5.4,3,89160,33335,26594,0.193,3732,934
115,3,32020,1323,128331,5.6,3,96849,33054,25815,0.19,3569,926
115,4,15065,822,184440,5.5,3,126541,43070,31455,0.207,12980,2095
116,0,29850,622,88896,6.5,5,63398,22967,17087,0.101,1685,397
116,1,5145,266,89354,7,5,60200,22475,15973,0.258,4743,765
116,2,7375,309,79028,6.1,5,61270,23048,17964,0.154,2437,617
116,3,12335,399,83977,6.5,5,59985,21332,15681,0.18,2526,718
116,4,4995,248,116238,6.4,5,81415,27676,20467,0.204,5096,1022
117,0,112250,1452,37260,4,3,22955,9606,6136,0.038,616,140
117,1,22670,656,40084,4.3,3,24243,10311,6728,0.085,1378,252
117,2,26060,743,29721,3.9,3,19771,8913,6087,0.086,924,247
117,3,46785,948,35123,4.1,3,22036,8740,5459,0.058,862,227
117,4,16735,476,51635,3.9,3,31508,12274,7588,0.083,2334,459
118,0,135530,1693,37952,4.6,4,22732,9552,6158,0.036,540,106
118,1,25680,719,43100,4.9,4,26957,10511,7109,0.096,1433,243
118,2,32205,893,30148,4.4,4,18562,9125,5899,0.081,807,199
118,3,56650,1080,34821,4.7,4,21216,8473,5450,0.051,705,146
118,4,20995,619,52178,4.4,3,31826,12005,7644,0.079,1812,347
119,0,1990,110,32704,4.8,4,20489,8903,6115,0.232,2149,541
119,1,535,55,40205,5.2,4,23560,10708,6217,0.528,5433,1607
119,2,480,56,26618,5.4,4,19240,9464,6747,0.515,3332,866
119,3,615,59,25187,4.4,4,16791,6486,5290,0.326,2331,413
119,4,360,50,43066,4.4,3,31375,9668,7069,0.477,6057,1032
120,0,29535,536,29205,3.3,3,21386,7036,5450,0.042,519,91
120,1,6120,257,30030,3.5,3,20151,7322,5515,0.097,1362,206
120,2,5780,229,22763,3.3,3,17804,6661,5392,0.105,654,157
120,3,12085,350,28386,3.4,3,21427,6479,5024,0.063,695,128
120,4,5550,215,36946,3.1,2,27734,8372,6311,0.088,1544,271
121,0,21895,470,47066,5.5,4,26570,12301,7426,0.113,1448,340
121,1,5295,260,49055,5.9,4,27283,12273,7542,0.236,3573,740
121,2,5000,247,39718,5.2,4,22865,11867,7210,0.253,3185,863
121,3,8210,266,44856,5.7,4,25090,11630,6868,0.183,1777,443
121,4,3390,149,60668,5.1,4,35356,14750,8842,0.236,3972,866
122,0,882735,8099,35746,4.9,4,21882,9793,6704,0.022,377,77
122,1,146240,3150,38203,5.2,4,22788,10266,7108,0.045,1107,178
122,2,215850,3616,27332,4.6,4,18125,9284,6693,0.051,441,122
122,3,373096,5719,34567,5.1,4,21788,9003,6160,0.033,556,127
122,4,147550,3144,48903,4.7,3,29166,12148,7882,0.051,1168,203
123,0,87680,1385,34382,4.3,3,18168,9150,5323,0.046,758,162
123,1,16075,667,35874,4.3,3,20092,9400,5885,0.091,1894,378
123,2,23960,700,26277,4.1,3,16125,8469,5442,0.086,917,286
123,3,34610,882,33646,4.5,3,17428,8296,4691,0.079,1291,258
123,4,13035,453,49587,4.5,3,23559,12438,6591,0.117,2388,473
124,0,23515,814,19197,2,2,14253,5157,3865,0.034,467,135
124,1,5080,401,19066,1.9,2,14340,4975,3742,0.076,1132,321
124,2,5150,311,15954,2.1,2,11594,5307,3999,0.083,845,337
124,3,8520,493,18472,2.1,2,13981,4504,3480,0.051,541,145
124,4,4765,402,24187,1.9,1,18023,6398,4938,0.072,1514,367
125,0,132330,4298,22091,3.2,2,13517,6099,3944,0.034,530,154
125,1,24850,1666,24704,3.2,2,15180,6327,4319,0.064,1212,276
125,2,27325,1904,19039,3.3,2,11501,6543,4050,0.095,1144,415
125,3,52900,2557,20550,3.3,2,12935,5330,3509,0.051,853,226
125,4,27255,2353,25757,3.1,2,16006,6975,4442,0.072,1162,319
126,0,59485,1921,23203,2.7,2,13530,6387,3844,0.042,694,204
126,1,12810,933,25377,2.7,2,14690,6407,3986,0.105,1776,477
126,2,12925,867,19313,2.8,2,11928,6417,3948,0.083,920,396
126,3,21640,1112,21350,2.9,2,12490,5769,3425,0.071,889,320
126,4,12110,912,28430,2.4,2,16627,7475,4440,0.082,2024,478
127,0,589535,6949,30015,4.2,3,20183,8005,5930,0.021,340,64
127,1,107200,2837,32561,4.6,4,21153,8676,6587,0.05,969,123
127,2,140255,3097,23365,4,3,16869,7738,5858,0.055,467,117
127,3,267896,5184,28770,4.3,3,19952,7230,5405,0.026,474,98
127,4,74185,1942,43476,4,3,29602,10401,7415,0.052,1132,198
128,0,339890,6503,24747,3.3,3,16646,6467,4740,0.034,352,67
128,1,82785,4198,27136,3.4,3,17672,6789,4953,0.071,1036,173
128,2,77975,2895,19934,3.3,3,14557,6267,4747,0.1,433,121
128,3,124110,3253,22981,3.4,3,15680,5808,4316,0.045,459,98
128,4,55020,2389,32061,3,2,21735,7811,5612,0.051,922,165
129,0,157395,2220,52311,6.8,5,32537,13642,9317,0.05,809,166
129,1,31830,1110,55564,7.3,6,33757,14432,10068,0.098,2105,320
129,2,35375,920,40129,6.4,5,26754,12808,8957,0.1,1127,370
129,3,61145,1437,48259,7,5,31111,12027,8425,0.084,991,205
129,4,29045,887,72712,6.3,5,44514,17320,11206,0.115,2639,510
130,0,106405,1329,53843,6.3,4,32287,13814,8911,0.05,795,162
130,1,19245,570,57591,6.6,5,32946,14799,9734,0.119,2328,392
130,2,24790,640,43046,6,4,27795,12985,8717,0.099,1085,247
130,3,42635,894,50028,6.4,5,30588,12318,7962,0.081,1085,248
130,4,19735,483,72944,6,4,45044,17330,11106,0.112,2396,492
131,0,413460,5624,68700,7,5,36351,17868,10343,0.072,1060,241
131,1,60310,1839,76330,7.7,5,38009,19796,11572,0.15,3383,608
131,2,103290,2742,51654,6.3,4,30371,15747,9622,0.107,1384,433
131,3,175300,3873,63886,7,5,35427,16364,9658,0.077,1467,368
131,4,74560,2392,99054,7.5,4,50109,23090,12601,0.303,3387,657
132,0,7040,233,64664,6,4,26499,15606,7657,0.29,7824,1488
132,1,1420,104,70992,6.4,4,27892,15516,8605,0.524,15854,1851
132,2,1740,116,50876,6.4,3,23664,14888,7774,0.854,9952,2547
132,3,2780,148,45979,5.5,4,24809,11680,6627,0.276,3165,805
132,4,1100,90,0,5.9,4,0,26870,10271,0.801,0,7795
133,0,102150,1443,45301,4.3,3,24689,11863,6860,0.061,1508,326
133,1,19980,675,52268,4.5,3,25749,12725,7412,0.174,5416,876
133,2,24310,756,36470,4.1,3,20886,11396,6863,0.123,2168,612
133,3,40360,901,41599,4.4,3,24209,10836,6272,0.093,1727,489
133,4,17500,494,58740,4,3,31655,14013,7929,0.111,3587,788
134,0,37465,949,39562,4.1,3,21371,10781,5995,0.159,1494,385
134,1,8225,416,41754,4.1,3,22728,11359,6137,0.256,3983,1098
134,2,9000,552,33103,3.8,3,18153,10358,5684,0.186,2529,829
134,3,12955,507,35390,4,3,20345,9298,5626,0.114,1523,410
134,4,7285,407,53146,4.6,2,28060,13453,7193,0.697,4605,874
135,0,212975,2640,29193,4.4,3,19672,7658,5573,0.031,367,67
135,1,45625,1302,31169,4.5,3,20129,8165,5912,0.056,931,156
135,2,47820,1149,22999,4.3,3,16769,7343,5500,0.062,393,105
135,3,82920,1738,27614,4.5,3,18896,6854,5039,0.055,571,102
135,4,36610,966,38733,4.3,3,26638,9342,6751,0.077,1063,194
136,0,26225,832,39824,2.8,2,25522,10676,6930,0.058,1185,281
136,1,5260,394,38128,2.6,2,26642,9864,6825,0.12,2295,594
136,2,5825,366,29034,2.7,2,19525,9654,6214,0.092,1388,498
136,3,9525,489,40322,3.1,2,24982,10435,6480,0.101,1974,474
136,4,5615,405,52477,2.6,2,36575,13073,9235,0.138,3131,671
137,0,19530,419,30111,3.8,3,19637,7923,5509,0.063,991,245
137,1,3860,193,36778,4,3,21468,9317,5928,0.164,3728,974
137,2,4530,194,24114,3.7,3,15938,7671,5373,0.126,1017,325
137,3,7355,263,27284,3.8,3,18308,6847,4845,0.1,1260,257
137,4,3785,177,35996,3.4,3,25832,8923,6721,0.131,1728,394
138,0,99795,1559,37033,3.8,3,24462,9524,6537,0.045,739,168
138,1,18885,695,36033,3.8,3,22198,9441,6548,0.095,1673,337
138,2,21830,735,32008,3.9,3,21742,9724,6732,0.093,983,272
138,3,38640,931,35786,4,3,24478,8750,6112,0.07,936,205
138,4,20440,736,46000,3.4,2,30024,10934,7322,0.109,2564,597
139,0,39730,549,50809,5.4,4,32194,13004,8580,0.059,839,172
139,1,6705,222,49819,5.4,4,31028,12799,8741,0.145,1986,394
139,2,9195,257,40576,5.2,4,26864,12681,8595,0.109,1161,317
139,3,16460,369,50055,5.5,4,32832,12129,8073,0.099,1162,242
139,4,7370,224,66757,5.1,4,41200,15701,9992,0.133,2857,532
140,0,82400,1322,31041,3.6,3,23509,7699,6238,0.04,403,66
140,1,15825,599,32283,3.7,3,23421,8115,6505,0.075,1140,166
140,2,17190,567,24864,3.6,3,19597,7634,6161,0.115,532,130
140,3,34925,894,30199,3.6,3,23724,7047,5917,0.062,595,81
140,4,14460,519,39008,3.3,3,29208,8938,6979,0.062,1098,226
141,0,79040,1215,39390,4.8,3,25155,10370,6888,0.047,657,167
141,1,14210,546,42066,4.9,3,25382,10871,7427,0.109,1795,382
141,2,17390,570,33793,4.8,3,22268,10259,6907,0.107,977,287
141,3,32885,812,36615,4.9,3,24343,9327,6298,0.072,860,243
141,4,14555,440,50173,4.5,3,31216,12477,7990,0.108,2077,522
142,0,196605,2997,40407,3,2,33024,10428,8690,0.025,422,87
142,1,39450,1352,35713,2.9,2,27712,9261,7611,0.05,977,177
142,2,33140,914,33430,3.3,2,28347,10942,9111,0.077,576,162
142,3,66610,1590,41136,3.2,2,33723,9856,8248,0.044,603,127
142,4,57405,1947,47126,2.8,2,40195,11673,9807,0.04,1046,212
143,0,172055,2347,56244,4.7,3,38862,14447,10677,0.037,789,134
143,1,34415,1134,52979,4.7,3,35349,13254,9965,0.086,2483,254
143,2,38535,1159,48293,4.8,3,34991,14836,11035,0.074,1096,279
143,3,64895,1408,56257,4.9,3,39089,13795,10167,0.067,1052,216
143,4,34210,948,69078,4.3,3,47963,16594,12115,0.071,1951,339
144,0,99370,1955,40952,5.3,4,26175,10891,7132,0.054,813,179
144,1,21425,1002,43042,5.4,4,27163,11102,7454,0.13,1907,429
144,2,24250,1161,33845,5.1,4,22168,10471,7114,0.104,1444,344
144,3,37515,1043,38168,5.3,4,25095,9825,6489,0.082,913,237
144,4,16180,617,56191,5.3,4,34979,13929,8754,0.145,2953,547
145,0,340895,3285,41235,5.5,4,23086,10944,6368,0.029,496,91
145,1,62200,1525,42380,5.6,4,23686,11167,6755,0.063,1310,210
145,2,81065,1516,32717,5.4,4,18870,10572,6290,0.06,566,149
145,3,127655,2041,40077,5.7,4,22622,10047,5751,0.049,679,139
145,4,69975,1416,52939,5,3,29516,12968,7449,0.062,1569,258
146,0,293895,3411,38605,4.6,3,23933,10169,6470,0.023,420,106
146,1,63485,1763,39090,4.7,4,24995,10321,6881,0.05,1125,167
146,2,65970,1494,31253,4.5,3,19497,10223,6359,0.055,627,365
146,3,115845,2169,37446,4.7,3,23555,9147,5811,0.036,572,109
146,4,48595,1260,51599,4.4,3,31789,12532,7964,0.045,1205,211
147,0,45825,693,37089,3.9,3,25675,9444,6834,0.05,617,125
147,1,8465,306,37486,4.1,3,24363,9545,6738,0.128,1637,286
147,2,9245,323,30236,3.9,3,22333,9285,6823,0.113,913,249
147,3,18405,427,34590,4,3,24953,8438,6375,0.073,770,164
147,4,9710,318,48571,3.7,3,33147,11544,8142,0.109,1851,365
148,0,28590,588,53719,6.8,5,32970,14299,9303,0.097,1146,250
148,1,4645,210,57575,7.3,5,33865,15252,10267,0.32,3413,636
148,2,6385,291,44386,6.4,5,29703,13667,9134,0.186,1929,557
148,3,11275,402,51120,7,5,30886,13200,8487,0.139,1536,329
148,4,6285,236,65709,6.4,5,40216,16340,10384,0.202,3058,641
149,0,384890,4210,46836,3.9,3,36378,11764,9747,0.021,456,70
149,1,71780,1789,43873,4.1,3,31901,11412,9180,0.039,1118,158
149,2,75105,1691,37910,3.9,3,31132,11776,9896,0.063,598,130
149,3,148175,2571,47180,4,3,37087,11038,9256,0.031,673,95
149,4,89830,2247,56595,3.5,3,45641,13335,11086,0.035,1241,204
151,0,137315,2206,52940,5.6,4,27267,13913,7340,0.075,1579,471
151,1,23365,890,58059,6.2,4,29432,14757,8402,0.157,3599,726
151,2,27880,1149,44913,5.4,4,23303,13349,7262,0.133,2577,706
151,3,56690,1419,46748,5.5,4,25310,12154,6518,0.093,1892,564
151,4,29380,860,69273,5.5,3,34417,17372,8538,0.241,5286,1749
152,0,303610,3104,36851,4.7,3,22412,9727,6321,0.031,465,94
152,1,51060,1224,37558,4.8,3,22438,9996,6574,0.068,1341,217
152,2,68885,1431,29587,4.5,3,18861,9221,6203,0.065,749,173
152,3,122895,2052,35676,4.9,3,22011,9023,5864,0.051,611,144
152,4,60770,1370,47443,4.5,3,29009,11625,7421,0.065,1357,259
153,0,369235,3730,37014,4.2,3,24944,9637,6962,0.022,375,67
153,1,68785,1647,39881,4.5,3,25839,10555,7672,0.047,1040,157
153,2,84725,1760,30162,4.2,3,21044,9364,6883,0.06,553,136
153,3,145935,2377,35177,4.3,3,24328,8688,6315,0.032,520,98
153,4,69790,1567,46756,3.7,3,32075,11131,7973,0.042,1075,165
154,0,119245,1670,24578,3.2,3,18377,6282,5014,0.024,296,53
154,1,22625,750,25568,3.3,3,18464,6680,5356,0.053,779,128
154,2,23290,618,19142,3.3,3,14810,6418,5112,0.067,411,115
154,3,53550,1207,24004,3.2,3,18475,5662,4615,0.033,427,72
154,4,19780,622,31520,3,2,23610,7396,5805,0.049,843,150
155,0,198335,2858,44054,5.1,4,27304,11564,7567,0.04,625,125
155,1,39065,1254,46978,5.4,4,28552,12151,8048,0.082,1790,262
155,2,46880,1570,36304,5,4,23842,11329,7524,0.089,874,280
155,3,76730,1749,42102,5.2,4,26597,10513,6917,0.066,806,179
155,4,35660,1035,55818,4.8,3,33726,13627,8739,0.081,1963,342
156,0,11690,454,49260,6,4,27141,13472,7799,0.163,1726,460
156,1,2190,173,53900,6.2,4,29101,13386,7911,0.427,4426,835
156,2,2325,190,40712,6,4,24185,13034,7541,0.313,2285,782
156,3,4710,313,45076,6.1,4,24443,12449,7059,0.282,2602,756
156,4,2465,204,61394,5.7,4,35425,16001,9513,0.285,4461,1234
157,0,504570,5786,36322,5.2,4,22892,9240,6294,0.028,417,70
157,1,88115,2305,42803,5.8,4,25326,10892,7186,0.075,1293,208
157,2,116495,2611,28677,5,4,19813,8609,6184,0.073,460,96
157,3,218280,4132,33063,5.2,4,21534,8153,5631,0.035,546,96
157,4,81680,2068,49495,4.8,3,31886,11376,7708,0.06,1346,208
158,0,20955,1839,49225,4.3,3,20817,13660,6074,0.312,4261,1218
158,1,2890,188,60310,5.1,4,29508,16580,8904,0.245,4992,1146
158,2,4140,482,46850,4.5,3,20157,14211,6605,0.502,6755,1897
158,3,8625,969,38436,3.9,3,16823,10142,4731,0.432,4092,1220
158,4,5300,1475,62815,4.3,2,25958,17447,6612,0.891,16588,4662
159,0,514460,5219,25535,4,3,18230,6702,5176,0.022,280,55
159,1,94520,2333,29591,4.4,3,20135,7653,5832,0.052,879,128
159,2,110595,2113,19275,3.8,3,14980,6350,5085,0.062,282,63
159,3,223330,3607,24120,4,3,17700,6030,4685,0.029,359,95
159,4,86015,2079,32886,3.6,3,23907,7891,6076,0.046,849,129
160,0,133095,2177,31922,2.4,2,24811,8028,6586,0.021,410,134
160,1,29230,1005,30340,2.5,2,22161,7666,6223,0.047,992,146
160,2,31075,994,25953,2.3,2,21054,8241,6516,0.042,761,521
160,3,49605,1382,33045,2.6,2,26190,7568,6394,0.032,547,101
160,4,23185,911,39622,2.4,2,32122,9238,7766,0.048,1112,185
161,0,40975,877,43139,3.7,3,32194,11541,9282,0.047,756,161
161,1,7475,370,44530,3.9,3,30968,11735,9010,0.126,2044,421
161,2,9395,466,36868,3.6,3,29575,11372,9394,0.09,1115,286
161,3,16340,523,41546,3.8,3,31143,10738,8700,0.078,997,229
161,4,7765,375,53480,3.3,2,40437,13405,11018,0.091,2374,443
162,0,19415,450,53301,5.3,4,34202,13983,9612,0.092,1312,284
162,1,3675,199,50150,5.1,4,32942,13280,9663,0.198,2698,482
162,2,4485,230,44365,5.3,4,31354,13606,9504,0.189,1772,538
162,3,7365,258,51490,5.5,4,32959,12927,8634,0.15,1904,437
162,4,3890,209,70738,5.2,4,45993,17250,11700,0.219,4338,849
163,0,30515,481,29271,3.8,3,19860,7543,5413,0.057,587,123
163,1,7055,250,33214,4.2,3,21142,8558,5961,0.147,1450,314
163,2,6945,236,22958,3.7,3,16100,7121,5360,0.105,792,211
163,3,11320,285,27248,3.7,3,19555,6649,4851,0.075,746,174
163,4,5195,180,37263,3.7,3,25373,8774,6383,0.165,2091,342
164,0,29150,668,34163,3.2,2,25278,8458,6576,0.051,643,114
164,1,7175,414,32259,3.3,2,22040,8345,6290,0.134,1335,250
164,2,5280,220,27833,3.3,2,21890,8347,6667,0.109,983,231
164,3,10055,358,33691,3.4,2,25481,7769,6222,0.074,885,148
164,4,6640,314,42620,2.7,2,32472,9832,7717,0.088,1771,297
165,0,24515,356,27966,4,3,19347,7088,5310,0.05,545,103
165,1,4515,145,28646,4.1,3,20565,7402,5674,0.109,998,200
165,2,4885,143,22524,4,3,16244,7138,5410,0.113,852,239
165,3,10690,243,26155,4,3,18384,6293,4768,0.077,658,127
165,4,4425,161,37909,3.9,3,25513,8700,6366,0.117,2189,350
166,0,9165,240,43348,4,2,27060,11185,6910,0.138,1804,376
166,1,2010,110,41501,3.3,2,21949,9740,6171,0.301,6154,712
166,2,1665,97,39652,4.1,2,25023,11840,6868,0.318,3142,874
166,3,3650,154,41949,4.4,2,27141,11028,6771,0.227,1924,622
166,4,1840,112,52055,3.6,2,34269,12599,8513,0.268,3434,862
167,0,18385,405,34233,3.2,3,23176,8826,6089,0.049,842,205
167,1,3675,169,31670,3,2,22136,8115,5962,0.106,1563,359
167,2,3455,165,26502,3.1,3,18352,8014,5790,0.125,1586,372
167,3,7910,284,32891,3.3,3,23120,8472,5759,0.077,1041,324
167,4,3345,166,48985,2.9,2,31439,11438,7922,0.1,3020,604
168,0,29075,467,31420,3.7,3,21921,8356,6087,0.053,590,187
168,1,5075,189,31394,3.7,3,22147,8139,6246,0.118,1491,265
168,2,5880,197,25182,3.6,3,17630,8084,5756,0.14,968,291
168,3,12550,321,30316,3.8,3,21445,7817,5626,0.072,881,352
168,4,5570,201,41132,3.7,3,28592,10202,7357,0.131,1550,386
169,0,18320,490,38424,2.6,2,29995,9890,8450,0.048,914,154
169,1,3260,217,38966,2.6,2,28774,9582,8001,0.138,3242,442
169,2,4100,202,30923,2.5,2,26186,9722,8695,0.1,936,235
169,3,6695,314,36393,2.7,2,29179,9129,7801,0.079,1155,221
169,4,4265,231,48516,2.4,2,38999,11532,9919,0.081,2153,379
170,0,38475,1103,37481,1.7,1,30826,9713,8479,0.023,686,124
170,1,7845,565,31913,1.6,1,25757,8649,7561,0.044,1432,245
170,2,8430,513,32051,1.8,1,27862,10222,9333,0.059,1078,257
170,3,12320,593,36822,1.8,1,30537,8960,7702,0.04,1066,180
170,4,9880,531,47808,1.6,1,40402,11153,9864,0.04,1629,286
171,0,42780,918,31165,2.1,2,25190,8337,7274,0.025,447,85
171,1,5535,267,28808,2,2,21002,7963,6818,0.062,1354,239
171,2,9135,385,26515,2.1,2,22255,8915,8034,0.076,656,170
171,3,18745,639,30775,2.2,2,25257,7625,6696,0.034,662,119
171,4,9365,463,37980,1.9,2,31904,9463,8356,0.038,1144,226
172,0,21480,447,32504,2.4,2,26592,8210,7189,0.039,528,104
172,1,4105,194,30393,2.2,2,24538,7729,6536,0.073,1222,254
172,2,4190,186,27281,2.6,2,23735,8417,7555,0.124,754,176
172,3,8210,288,31153,2.4,2,25868,7592,6707,0.057,750,147
172,4,4975,211,41029,2.2,2,34762,9505,8258,0.071,1416,277
173,0,5955,205,36420,2.6,2,28393,9211,7739,0.082,1001,213
173,1,965,80,36239,2.9,2,24567,8732,7213,0.26,3082,571
173,2,1390,100,32001,2.7,2,25405,9912,8237,0.164,1633,418
173,3,2420,131,34869,2.7,2,27846,8434,7269,0.132,1403,316
173,4,1180,92,45055,2.1,2,37719,10412,8543,0.108,2547,504
174,0,60,17,24023,1.7,2,24903,4640,4157,0.31,3138,517
174,1,0,0,0,0,0,0,0,0,0,0,0
174,2,0,0,0,0,0,0,0,0,0,0,0
174,3,0,0,0,0,0,0,0,0,0,0,0
174,4,0,0,0,0,0,0,0,0,0,0,0
175,0,33535,676,38295,3.1,2,29094,10031,7917,0.053,718,137
175,1,5815,294,36156,3,2,24714,9721,7653,0.117,2090,299
175,2,6890,279,33433,3.2,2,26786,10514,8634,0.129,905,267
175,3,13475,419,37149,3.2,2,28495,9281,7312,0.086,1135,206
175,4,7355,342,46955,2.7,2,38073,11264,8991,0.097,1736,376
176,0,350,44,26079,1.3,1,23235,7125,5876,0.134,2045,567
176,1,0,0,0,0,0,0,0,0,0,0,0
176,2,55,16,19963,1.5,1,21252,5700,5781,0.396,3067,945
176,3,125,26,26964,1.6,1,23635,7154,6410,0.281,2883,686
176,4,125,26,32407,1,1,29439,8749,7252,0.132,3985,1282
177,0,8220,255,19529,1.5,1,15652,4665,3809,0.043,412,99
177,1,790,87,21270,1.4,1,17321,4705,3667,0.126,1504,287
177,2,1250,86,16820,1.7,1,13106,4958,4092,0.17,1116,269
177,3,3755,171,18706,1.6,1,15096,4297,3414,0.061,585,147
177,4,2425,144,21663,1.2,1,18459,5096,4452,0.047,728,179
