DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanLOS,MedianLOS,MedianCharges,MeanCost,MedianCost,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
46,1,21970,1066,33938,2.3,2,28124,8754,7553,0.033,1262,212
46,2,18310,728,31937,2.6,2,28106,9751,8539,0.105,726,239
46,3,41360,1502,34176,2.5,2,28638,8491,7369,0.038,733,129
46,4,23080,933,46246,2.2,2,39977,10716,9431,0.031,1272,225
47,0,122120,2960,67470,4.6,3,46389,17655,12820,0.039,1531,285
47,1,24190,1392,67722,4.5,3,44237,16854,12151,0.093,4241,653
47,2,26390,1395,57612,4.5,3,41740,17450,12947,0.082,2047,565
47,3,45030,1745,61718,4.7,3,44401,16129,12060,0.065,1688,346
47,4,26510,1356,88493,4.4,3,60839,21518,15173,0.08,4289,811
48,0,28495,662,35682,3.2,2,25953,8975,6893,0.098,830,162
48,1,6635,419,36976,3.1,2,24393,8848,6572,0.155,2444,407
48,2,5570,243,30660,3.3,2,23378,9190,7155,0.146,1169,342
48,3,10460,354,33012,3.4,2,24678,8221,6423,0.095,1081,245
48,4,5830,279,44092,3,2,33647,10360,8197,0.387,1774,333
49,0,16175,598,16098,2.5,2,11093,4560,3331,0.072,658,183
49,1,2910,251,18446,2.6,2,12984,4768,3715,0.123,1088,210
49,2,4140,313,15894,2.7,2,10091,5376,3530,0.201,2142,622
49,3,6410,358,13176,2.3,2,9731,3580,2848,0.077,524,124
49,4,2715,262,21085,2.5,2,15379,5489,3934,0.196,1399,326
50,0,538330,5459,38572,4.7,3,22719,9850,6299,0.029,487,86
50,1,95815,2337,44795,5.3,4,25919,11326,7198,0.068,1506,232
50,2,113130,2242,29802,4.3,3,18721,9096,6013,0.071,585,148
50,3,230095,3716,35367,4.7,3,21098,8768,5602,0.044,629,122
50,4,99290,2346,50433,4.4,3,30645,11894,7655,0.062,1449,239
51,0,55810,865,36542,4.7,3,24415,9535,6833,0.047,626,137
51,1,11970,536,40650,5,4,25451,10460,7425,0.124,1766,371
51,2,12795,368,28934,4.5,3,20950,9084,6689,0.085,786,269
51,3,19925,465,34070,4.9,4,23214,8518,6029,0.075,803,188
51,4,11120,331,45796,4.3,3,30512,10973,7847,0.103,1668,303
52,0,11230,362,47355,7.7,5,29814,13324,8519,0.254,1653,468
52,1,2185,191,56712,8.3,6,37048,14612,10151,0.48,3512,780
52,2,2595,161,39981,7.2,5,25059,12899,8009,0.539,3413,1196
52,3,4165,210,40185,7.7,5,25572,11164,7370,0.432,2321,676
52,4,2285,158,60773,7.9,5,40030,16768,10706,0.584,4304,1120
53,0,985,133,41438,6,3,25602,11443,7016,1.274,4104,1149
53,1,115,22,0,6,3,0,0,0,1.69,0,0
53,2,250,61,33962,4.8,3,19905,10052,6703,0.729,7230,1155
53,3,415,108,42411,0,0,26634,11588,7011,0,5011,1824
53,4,205,42,39063,4,3,31733,10426,6269,0.64,7095,1603
54,0,15795,344,25114,3.9,3,18051,6706,5111,0.065,577,121
54,1,4185,202,29402,4.2,3,20328,7501,5797,0.13,1330,279
54,2,3830,164,20642,3.8,3,14915,6243,4632,0.169,1305,261
54,3,5270,189,22681,3.9,3,17054,6025,4606,0.095,731,167
54,4,2510,121,29886,3.5,3,22569,7530,6042,0.12,1163,263
55,0,386445,4129,24779,3.4,3,16257,6539,4680,0.025,287,57
55,1,70975,1857,28198,3.7,3,17389,7398,5130,0.048,886,173
55,2,86275,2043,19308,3.4,3,13619,6269,4657,0.076,392,110
55,3,159605,2616,23098,3.5,3,15524,5833,4178,0.034,373,79
55,4,69590,1607,32110,3.1,2,22205,7660,5595,0.04,799,125
56,0,12920,1139,92257,10.1,9,61317,27457,19139,0.222,5648,1194
56,1,2585,535,89057,10.1,8,57793,23736,17923,0.675,14927,2139
56,2,3230,531,76443,9.7,8,53045,25872,17106,0.341,4632,1841
56,3,4390,673,80973,9.9,9,53940,25272,16673,0.378,5886,1518
56,4,2715,525,132876,10.9,10,85588,36554,27796,0.399,19193,4027
57,0,1945,130,135377,10.2,4,37452,40165,11332,1.456,28628,8528
57,1,395,59,0,0,0,0,0,0,0,0,0
57,2,375,55,100300,8.7,4,40095,0,0,1.703,26161,0
57,3,800,88,82979,7.8,3,31381,24771,9372,1.475,18645,5906
57,4,375,51,0,0,0,0,0,0,0,0,0
58,0,216540,6025,46572,3,2,37237,12173,10198,0.058,905,188
58,1,55190,2886,42631,3,2,33083,11450,9534,0.103,1593,413
58,2,43045,2323,38769,3.2,2,32516,12187,10630,0.121,1142,345
58,3,79090,3756,47414,3,2,38883,11814,10065,0.105,1675,305
58,4,39215,2909,60085,2.9,2,47970,14097,11400,0.128,2385,463
59,0,187560,2101,33602,3.8,3,20731,8788,5778,0.032,519,131
59,1,37840,1007,36743,4,3,22538,9394,6462,0.068,1196,238
59,2,37890,901,27663,3.8,3,18357,8804,6164,0.081,858,267
59,3,79870,1332,30604,3.7,3,19298,7797,5150,0.045,665,188
59,4,31960,903,44847,3.6,2,26821,10635,6440,0.089,1834,440
60,0,46045,765,30981,3.8,3,22075,8193,6380,0.048,486,94
60,1,9745,374,33538,4.1,3,22545,9190,6938,0.111,1312,212
60,2,11165,361,25330,3.7,3,19530,8014,6583,0.073,611,167
60,3,17985,490,29135,3.8,3,21171,7192,5644,0.092,612,125
60,4,7150,274,41035,3.3,2,28705,9675,7337,0.085,1702,314
61,0,91080,3415,31345,5.1,4,20596,8347,5593,0.072,796,211
61,1,19920,1796,37636,5.3,4,25100,9382,6497,0.161,1937,411
61,2,17655,1678,27991,5.1,4,19142,8594,5713,0.163,1410,571
61,3,46055,2277,26801,5,4,18170,7207,5091,0.099,862,191
61,4,7450,661,51854,5.4,4,32167,12408,7419,0.218,3927,1418
62,0,33190,617,66107,4.4,3,29896,17477,8330,0.077,2768,667
62,1,6750,260,73553,4.6,3,33263,17940,9276,0.18,7126,1171
62,2,7105,274,55432,4.2,3,24388,16433,7941,0.186,6034,1481
62,3,12605,402,60969,4.6,3,28626,16200,7773,0.109,3153,868
62,4,6730,276,80291,4.1,3,35513,20713,9017,0.168,7786,2149
63,0,61070,1875,43689,5.2,4,25455,12465,7473,0.066,1205,382
63,1,11815,977,49168,5.5,4,28662,13088,8296,0.157,2925,871
63,2,13890,694,34192,4.8,4,20853,11068,6978,0.127,1904,652
63,3,23595,1294,39918,5.3,4,23805,11556,6799,0.097,1647,631
63,4,11770,636,58131,5.2,4,33205,15575,9011,0.171,3575,951
64,0,4885,171,59020,5.5,4,34754,15711,9744,0.204,3669,908
64,1,910,74,59398,5.6,4,37027,15388,9772,0.328,5200,1223
64,2,1075,79,61677,5.8,4,30923,17598,9208,0.644,14347,3472
64,3,2055,116,52194,5.3,4,32341,13850,9046,0.258,2912,812
64,4,845,63,72506,5.5,4,50641,18327,12731,0.441,5663,1487
650,0,36465,1921,10733,3.6,3,7557,3247,2351,0.09,356,110
650,1,9075,864,13927,4.5,3,8902,4370,3333,0.142,1027,198
650,2,9545,833,8829,3.3,3,6884,2936,2224,0.128,399,143
650,3,13850,1398,9208,3.2,2,7078,2585,1917,0.167,497,189
650,4,3995,544,13382,3.3,2,8714,3746,2537,0.25,1010,307
651,0,39205,1394,17954,4.9,3,12178,5160,3660,0.137,518,144
651,1,9325,666,21660,6.1,4,13039,6850,4846,0.285,1604,408
651,2,10045,764,13443,4.3,3,9944,4428,3205,0.19,564,201
651,3,13945,875,16452,4.5,3,11686,4091,3084,0.276,759,157
651,4,5890,390,23456,4.8,3,17387,6295,4546,0.292,1003,316
652,0,11715,973,21668,7.9,6,14699,6461,4224,0.445,1302,409
652,1,3155,446,27769,9.7,7,19406,8044,5679,0.95,2741,732
652,2,3115,471,18583,6.8,5,13625,5670,4000,0.452,2042,573
652,3,4515,698,17446,7.2,5,13067,5101,3509,0.752,1192,463
652,4,930,197,32659,9.2,6,17269,10661,5525,1.272,7463,2660
