RegionType,RegionID,CatID,CatVal,Year,Population
1,22,1,2,2012,89147
1,22,1,3,2012,70025
1,22,1,4,2012,39460
1,22,2,1,2012,129736
1,22,2,2,2012,134261
1,22,4,1,2012,176964
1,22,4,2,2012,55306
1,22,4,3,2012,19382
1,22,4,4,2012,1316
1,22,4,5,2012,5605
1,22,4,6,2012,5424
1,23,0,0,2012,3354928
1,23,1,1,2012,832508
1,23,1,2,2012,1305355
1,23,1,3,2012,837345
1,23,1,4,2012,379720
1,23,2,1,2012,1669367
1,23,2,2,2012,1685561
1,23,4,1,2012,1468110
1,23,4,2,2012,63471
1,23,4,3,2012,1146642
1,23,4,4,2012,587640
1,23,4,5,2012,8132
1,23,4,6,2012,80933
1,25,0,0,2012,1159746
1,25,1,1,2012,361641
1,25,1,2,2012,445519
1,25,1,3,2012,247500
1,25,1,4,2012,105086
1,25,2,1,2012,592078
1,25,2,2,2012,567668
1,25,4,1,2012,407384
1,25,4,2,2012,44075
1,25,4,3,2012,633235
1,25,4,4,2012,44971
1,25,4,5,2012,7425
1,25,4,6,2012,22656
1,31,0,0,2012,298033
1,31,1,1,2012,67350
1,31,1,2,2012,104505
1,31,1,3,2012,78712
1,31,1,4,2012,47466
1,31,2,1,2012,148125
1,31,2,2,2012,149908
1,31,4,1,2012,219551
1,31,4,2,2012,3580
1,31,4,3,2012,50074
1,31,4,4,2012,10676
1,31,4,5,2012,3509
1,31,4,6,2012,10643
1,33,0,0,2012,1038236
1,33,1,1,2012,257423
1,33,1,2,2012,366838
1,33,1,3,2012,286959
1,33,1,4,2012,127016
1,33,2,1,2012,513243
1,33,2,2,2012,524993
1,33,4,1,2012,541472
1,33,4,2,2012,80946
1,33,4,3,2012,230017
1,33,4,4,2012,137739
1,33,4,5,2012,2476
1,33,4,6,2012,45586
1,43,0,0,2012,1241106
1,43,1,1,2012,367629
1,43,1,2,2012,477638
1,43,1,3,2012,271097
1,43,1,4,2012,124742
1,43,2,1,2012,631248
1,43,2,2,2012,609858
1,43,4,1,2012,410371
1,43,4,2,2012,56917
1,43,4,3,2012,642036
1,43,4,4,2012,96899
1,43,4,5,2012,7830
1,43,4,6,2012,27053
1,56,0,0,2012,9900205
1,56,1,1,2012,2423674
1,56,1,2,2012,4002683
1,56,1,3,2012,2391332
1,56,1,4,2012,1082516
1,56,2,1,2012,4884135
1,56,2,2,2012,5016070
1,56,4,1,2012,2738492
1,56,4,2,2012,815621
1,56,4,3,2012,4736835
1,56,4,4,2012,1371375
1,56,4,5,2012,17911
1,56,4,6,2012,219971
1,58,0,0,2012,907377
1,58,1,1,2012,254905
1,58,1,2,2012,333210
1,58,1,3,2012,216573
1,58,1,4,2012,102689
1,58,2,1,2012,449329
1,58,2,2,2012,458048
1,58,4,1,2012,420405
1,58,4,2,2012,25990
1,58,4,3,2012,382810
1,58,4,4,2012,51510
1,58,4,5,2012,5746
1,58,4,6,2012,20916
1,62,0,0,2012,272929
1,62,1,1,2012,59250
1,62,1,2,2012,88204
1,62,1,3,2012,81095
1,62,1,4,2012,44380
1,62,2,1,2012,137382
