StateCountyFips,CatID,CatVal,Year,Population
1001,0,0,2013,54203
1001,1,1,2013,13846
1001,1,2,2013,18512
1001,1,3,2013,14379
1001,1,4,2013,7466
1001,2,1,2013,26251
1001,2,2,2013,27952
1001,4,1,2013,41322
1001,4,2,2013,9728
1001,4,3,2013,1468
1001,4,4,2013,626
1001,4,5,2013,230
1001,4,6,2013,829
1003,0,0,2013,191344
1003,1,1,2013,43341
1003,1,2,2013,58473
1003,1,3,2013,54069
1003,1,4,2013,35461
1003,2,1,2013,93339
1003,2,2,2013,98005
1003,4,1,2013,159393
1003,4,2,2013,17696
1003,4,3,2013,8706
1003,4,4,2013,1741
1003,4,5,2013,1232
1003,4,6,2013,2576
1005,0,0,2013,27028
1005,1,1,2013,5703
1005,1,2,2013,9755
1005,1,3,2013,7276
1005,1,4,2013,4294
1005,2,1,2013,14440
1005,2,2,2013,12588
1005,4,1,2013,12851
1005,4,2,2013,12415
1005,4,3,2013,1303
1005,4,4,2013,162
1005,4,5,2013,68
1005,4,6,2013,229
1007,0,0,2013,22544
1007,1,1,2013,4750
1007,1,2,2013,8461
1007,1,3,2013,6117
1007,1,4,2013,3216
1007,2,1,2013,12146
1007,2,2,2013,10398
1007,4,1,2013,16926
1007,4,2,2013,4828
1007,4,3,2013,477
1007,4,4,2013,42
1007,4,5,2013,87
1007,4,6,2013,184
1009,0,0,2013,56954
1009,1,1,2013,13644
1009,1,2,2013,18374
1009,1,3,2013,15440
1009,1,4,2013,9496
1009,2,1,2013,28089
1009,2,2,2013,28865
1009,4,1,2013,50111
1009,4,2,2013,927
1009,4,3,2013,4877
1009,4,4,2013,174
1009,4,5,2013,274
1009,4,6,2013,591
1011,0,0,2013,10962
1011,1,1,2013,2228
1011,1,2,2013,4222
1011,1,3,2013,2957
1011,1,4,2013,1555
1011,2,1,2013,5994
1011,2,2,2013,4968
1011,4,1,2013,2859
1011,4,2,2013,7132
1011,4,3,2013,836
1011,4,4,2013,32
1011,4,5,2013,28
1011,4,6,2013,75
1013,0,0,2013,20329
1013,1,1,2013,4681
1013,1,2,2013,6588
1013,1,3,2013,5463
1013,1,4,2013,3597
