DRGID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
230 ,3,1375.000126,149.2413057,110582.3167,4120.132264,32429.86913,1677.745187,4.727273589,0.197780907,98040,29754.57,4
230 ,4,639.9993518,94.45150573,134619.7162,11185.30275,36097.90171,2385.893198,4.593751409,0.277615179,114798,30193.02,4
231 ,0,3089.999576,125.9554288,237641.6198,6349.399093,62400.6768,1317.837221,12.30421072,0.313886399,194228,54779.28,10
231 ,1,375.0000722,40.12406115,238539.7449,18048.59833,61668.7628,3692.34281,13.92000808,1.16177329,187797,52658.76,11
231 ,2,749.9993706,56.30667779,196444.6831,8943.576656,61690.3702,2082.152272,11.52000859,0.646825423,177880,58027.838,10
231 ,3,1424.999409,94.08043957,221157.4119,7856.045948,56702.07701,1529.64829,12.30175148,0.420997339,188672,51055.29,11
231 ,4,540.0007238,47.25736639,337680.9858,20537.57997,79211.86284,4619.70497,12.27778742,0.718670975,270898,66308.16,10
232 ,0,2970.00026,135.4599328,173409.9753,4381.60732,44348.58976,782.8686737,8.284511944,0.140451296,152179,42101.1,8
232 ,1,419.9993713,54.63490534,171796.4814,12652.34843,42548.21178,1565.991337,8.714283636,0.37567607,150213,39477.336,9
232 ,2,685.0000579,59.67184414,151689.0237,6532.780303,47196.44509,1658.046578,8.291970897,0.278409467,141085,45332.574,8
232 ,3,1375.000591,96.14807101,161620.984,5512.440112,39904.72042,962.0237885,8.309092076,0.217263661,140768,37638.81,8
232 ,4,490.0002405,50.58893123,238458.6082,13107.00964,54737.9526,2404.903717,7.836734777,0.293063966,216287,50198.397,8
233 ,0,28375.00262,833.4183866,207421.1075,3681.907971,52965.09667,606.1691158,13.06625508,0.122077856,170121,46173.315,11
233 ,1,4134.997283,309.6511465,205361.2156,10593.93052,51158.04465,1319.192303,13.63603511,0.307589691,167567,45166.4,12
233 ,2,6134.997037,292.7672783,174314.4955,4635.036406,53912.84588,1393.529033,12.52730684,0.238576401,149600,46948.088,11
233 ,3,13105.00425,645.3804982,191592.2381,4487.16073,47974.54047,703.5748314,13.14726911,0.171588706,162861,42465.15,11
233 ,4,5000.004052,310.6021698,291829.1367,11854.83677,66820.84264,1929.313574,13.04399865,0.350601227,245661,59041.668,11
234 ,0,52614.99767,1655.914859,141632.3145,2391.936879,37601.20964,430.3129688,8.453674127,0.053708245,121597,34525.26,8
234 ,1,8174.994088,609.0570581,137037.2406,6192.418848,35800.32996,833.3520158,9.028135046,0.132849966,117958,33076.03,8
234 ,2,12239.98911,638.1802012,122432.9856,3453.196158,39428.29456,1165.357707,8.311685919,0.11857275,111979,36341.604,8
234 ,3,24160.00728,1300.534592,132921.2202,3143.477376,33977.4193,488.1565729,8.352235846,0.07974223,117524,31986.008,8
234 ,4,8040.007184,521.9572063,203350.7098,7395.912637,48095.67847,1074.218745,8.390548452,0.116114939,181388,45124.2,8
235 ,0,17905.00302,717.995627,162291.3213,3561.605941,42957.19185,680.7560615,10.26417252,0.136775446,131617,36542.808,8
235 ,1,2785.000111,276.1407803,166937.6591,8354.427993,41762.27902,1630.06751,10.66248003,0.367737778,136429,36448.646,9
235 ,2,3779.997737,271.5034253,141246.9816,4410.497178,42737.08567,1213.265082,9.870369915,0.231951602,120522,36634.458,8
235 ,3,8365.002865,554.161742,146033.7208,4052.029219,39013.92826,845.6309851,10.37776399,0.204040522,124061,33854.502,9
235 ,4,2975.002311,241.7739514,232053.8215,13972.55865,56006.71942,2194.513297,10.07227134,0.367623575,185933,48187.493,8
236 ,0,49659.99384,1650.953758,110262.4227,1939.822432,30144.47806,391.576355,6.325715963,0.048352671,94207,27379.48,6
236 ,1,8099.995826,637.8893848,109664.2603,5414.035893,28641.07597,873.1518706,6.638272348,0.131767201,93686,26258.878,6
236 ,2,12044.98652,730.7461914,97915.64277,2980.060828,31246.99973,922.3389826,6.15068693,0.102354508,87056,28404.103,5
236 ,3,21810.00596,1211.359496,101911.3265,2338.769891,27131.96109,426.5080372,6.355800704,0.071340607,90281,25240.4,6
236 ,4,7705.005537,563.3503515,155235.0457,6620.722114,39017.44531,1150.764702,6.185595178,0.105702184,133728,35598.864,6
237 ,0,43095.00914,847.315287,162125.4515,3148.247598,44749.46005,895.2957121,10.76795521,0.189708389,116479,33093.1,8
237 ,1,7509.994203,374.3173087,165990.6977,8297.155364,43474.20473,1518.98054,11.0419441,0.363432911,121285,34217.6,8
237 ,2,10460.00035,426.7181172,132888.9464,4197.764441,43278.1541,1733.870081,10.21463288,0.412679003,103194,32934.55,8
237 ,3,16785.00107,536.5953434,150923.8444,4603.577093,41275.38041,1419.295512,11.03604478,0.301831257,111105,30337.265,8
