DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
40,4,3200.000442,326.2061098,136455.9808,17755.20232,35263.82905,4494.267921,11.00155917,0.777556317,94668,24131.976,8
41,0,7229.986811,371.0471236,87013.02907,4564.354629,25377.10673,1195.651188,7.469574005,0.281157774,49452,14882.48,5
41,1,1429.999812,198.3208273,84105.11012,11357.65197,25639.96174,3190.243139,7.493011882,0.74931047,51025,15733.2,4
41,2,1614.997186,181.7700959,76622.99647,7787.447117,24710.40418,2535.413817,7.647060797,0.575977044,42667,13589.678,5
41,3,2734.991109,217.0735524,71878.66255,3591.105071,21229.05708,1337.445066,7.06215903,0.385903979,47836,13674.32,5
41,4,1449.998703,134.8462922,132448.1253,15128.40862,34187.16457,3074.144574,8.017243118,0.666967499,74634,19047.373,5
42,0,195924.9179,5899.733105,63286.31681,1329.846266,17001.30259,302.1976153,6.365982714,0.050078012,40964,11814.785,5
42,1,45105.01369,3695.702776,72002.38122,3700.93456,18841.33784,846.2730803,7.010976677,0.131475069,45868,12987.539,5
42,2,43655.00616,2316.688919,49814.66134,1589.755976,15527.35688,415.3670647,5.839078459,0.087422226,34953,11372.505,4
42,3,72019.9256,3657.597807,55344.66964,1351.009311,14952.20599,424.5581269,6.449042134,0.090344896,37556,10529.025,5
42,4,35144.97248,1550.342686,86396.50944,3883.532345,20906.27411,632.922916,6.022480203,0.097904659,54897,14154.32,4
43,0,8949.990941,296.4894942,67621.96732,2716.43887,18610.10445,600.5765613,7.41564802,0.17717168,42191,12726.39,5
43,1,1900.000163,155.2444676,86042.95816,8317.895766,22338.20414,1761.999231,8.59211341,0.491786735,50330,14808.75,6
43,2,2194.9974,139.1562309,51608.47558,2939.881798,16689.4825,855.3025885,7.034168729,0.314663608,36661,13222.54,5
43,3,3204.995895,176.158864,56470.84597,3075.434048,15545.50192,804.1836999,7.051486494,0.269497602,37831,10766,5
43,4,1649.997483,115.7962584,90570.41426,7723.803065,23088.17965,1476.762505,7.275767695,0.385506688,56389,14978.898,5
44,0,42634.96894,937.9359227,65953.33019,2137.93501,18535.94713,633.563917,5.510494094,0.12314588,37276,10857.987,3
44,1,8294.996319,380.0569855,67498.97987,4313.347558,18304.93233,1132.641694,5.910789486,0.222839005,36036,10858.44,4
44,2,9535.001807,464.5232882,58811.44583,3654.165064,19165.2093,1243.968776,5.361298424,0.222514569,34784,11227.566,4
44,3,16074.98378,616.6939961,58564.40095,2811.702602,16449.69144,1105.791834,5.462205413,0.212267683,35316,9819.685,3
44,4,8729.987027,373.0778911,87120.76443,7195.95619,22171.50214,1629.863594,5.38201417,0.324419186,46393,12734.159,3
45,0,157134.7549,8476.511548,52600.77924,1457.348232,15194.04015,443.6108607,5.50682636,0.080558677,30942,9181.432,4
45,1,29554.99821,3044.378082,54912.93457,3282.112733,14234.04387,761.8734698,5.20284253,0.147781194,33477,8628.444,4
45,2,32444.9822,2961.334122,47043.03934,2366.980792,15214.46731,729.636809,5.416089509,0.160620132,27350,9114.294,4
45,3,61979.79231,6855.314975,46213.18067,1908.183165,13823.90247,940.3956449,5.444660997,0.143438089,27361,8347.059,4
45,4,33154.98222,2611.161988,68811.1723,4513.66149,18819.97678,892.1504449,5.982808922,0.178289972,39817,11590.38,4
46,0,104564.9673,2198.991351,35020.18965,530.0375386,9174.992934,103.8861955,2.306934717,0.015136432,28878,7873.296,2
46,1,22719.99472,1083.345143,31573.76296,1204.127876,8382.626036,197.0057262,2.297975271,0.035353489,25591,7316.834,2
46,2,17639.99721,743.2656105,30974.51461,748.367822,9862.291456,295.7076384,2.366034103,0.039280213,26921,8549.398,2
46,3,41014.9821,1471.360121,32824.88837,733.6466259,8420.277168,135.528326,2.392025416,0.023561964,27007,7261.59,2
46,4,23189.9933,971.896029,45925.59666,1379.821697,10888.43267,260.8518905,2.120311051,0.027218916,39494,9385.884,2
47,0,126434.9278,2999.755754,63832.3157,1380.208758,17214.53312,265.9668718,4.576491298,0.045031498,43146,12194.028,3
47,1,25754.99731,1573.504076,64875.90456,3618.28068,16978.17293,677.5754441,4.596972142,0.136542311,41308,11688.336,3
47,2,26709.97424,1233.041537,53424.57718,1765.368216,16797.31802,419.9075703,4.47697426,0.074118288,38587,12460.626,3
47,3,46654.97873,1836.989505,57821.37369,1476.361988,15616.39007,408.6575854,4.813142387,0.073044568,41453,11420.006,3
47,4,27314.97756,1275.812539,85037.21067,4123.862223,20903.59671,645.8629218,4.250414208,0.077447334,55610,14476.004,3
48,0,33689.97632,814.9796213,32925.25518,642.9503111,8745.208661,146.4022562,2.87485226,0.054860084,24328,6819.624,2
48,1,7869.997336,528.1667257,32331.62915,1613.689796,8301.712379,328.3305176,2.77954336,0.132781024,23037,6457.069,1
48,2,6914.991988,314.7143541,28591.02233,1042.846064,9098.005854,366.5879025,2.974693223,0.110499752,21618,7022.4,2
48,3,11709.99152,409.6674583,31066.61815,948.1788786,8086.492489,196.90382,3.074359185,0.090176882,23486,6401.025,2
48,4,7194.995477,344.0336347,41299.83864,1551.27805,10100.10895,345.8032672,2.558723079,0.103244002,31900,7838.1,1
49,0,17054.99319,639.8565247,14607.02802,471.6782058,4488.299198,159.7804244,2.512318191,0.108303578,10350,3305.528,2
49,1,3130.00209,288.426894,17046.0386,1239.442946,4720.824703,252.5274861,2.568691423,0.107864486,11920,3688.188,2
49,2,4589.995406,353.5531597,13142.17426,1072.534554,4903.255846,464.3330088,2.271242864,0.056635961,9122,3375.825,2
49,3,6704.992906,389.3016651,12701.09698,590.6598933,3795.227896,197.835717,2.593285277,0.230290465,9565,2843.556,2
49,4,2630.002789,222.8691899,19295.37337,1068.490046,5336.430559,280.083046,2.660259799,0.348952306,14449,3841.11,2
50,0,531474.5619,5567.715248,36417.79481,463.8769125,9663.081162,95.49188834,4.584706593,0.026834631,21442,6145.032,3
50,1,97729.97885,2457.437231,41841.6661,1344.17425,10917.15989,239.8339309,5.200051203,0.07789597,23588,6923.085,4
50,2,111109.9695,2222.443613,28412.81855,583.955854,9077.964884,165.4048913,4.139411642,0.041516657,17523,5827.74,3
