StateCountyFips,CatID,CatVal,Year,Population
1033,4,3,2012,1262
1033,4,4,2012,276
1033,4,5,2012,259
1033,4,6,2012,787
1035,0,0,2012,13221
1035,1,1,2012,2849
1035,1,2,2012,4107
1035,1,3,2012,3774
1035,1,4,2012,2491
1035,2,1,2012,6380
1035,2,2,2012,6841
1035,4,1,2012,7029
1035,4,2,2012,5757
1035,4,3,2012,226
1035,4,4,2012,18
1035,4,5,2012,49
1035,4,6,2012,142
1037,0,0,2012,11295
1037,1,1,2012,2082
1037,1,2,2012,3627
1037,1,3,2012,3624
1037,1,4,2012,1962
1037,2,1,2012,5601
1037,2,2,2012,5694
1037,4,1,2012,7627
1037,4,2,2012,3238
1037,4,3,2012,244
1037,4,4,2012,21
1037,4,5,2012,49
1037,4,6,2012,116
1039,0,0,2012,37509
1039,1,1,2012,8293
1039,1,2,2012,11378
1039,1,3,2012,10583
1039,1,4,2012,7255
1039,2,1,2012,18129
1039,2,2,2012,19380
1039,4,1,2012,31471
1039,4,2,2012,4553
1039,4,3,2012,590
1039,4,4,2012,170
1039,4,5,2012,195
1039,4,6,2012,530
1041,0,0,2012,14190
1041,1,1,2012,3197
1041,1,2,2012,4659
1041,1,3,2012,3987
1041,1,4,2012,2347
1041,2,1,2012,6889
1041,2,2,2012,7301
1041,4,1,2012,10176
1041,4,2,2012,3238
1041,4,3,2012,269
1041,4,4,2012,219
1041,4,5,2012,69
1041,4,6,2012,219
1043,0,0,2012,78985
1043,1,1,2012,18029
1043,1,2,2012,25244
1043,1,3,2012,22150
1043,1,4,2012,13562
1043,2,1,2012,39043
1043,2,2,2012,39942
1043,4,1,2012,73119
1043,4,2,2012,899
1043,4,3,2012,3353
1043,4,4,2012,413
1043,4,5,2012,379
1043,4,6,2012,822
1045,0,0,2012,49650
1045,1,1,2012,12018
1045,1,2,2012,17551
1045,1,3,2012,12851
1045,1,4,2012,7230
1045,2,1,2012,24574
1045,2,2,2012,25076
1045,4,1,2012,35433
1045,4,2,2012,9226
1045,4,3,2012,2837
