DRGID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
1,0,5039.997857,494.9132391,916077.25,43605.10,253630.27,10180.84,42.28302123,1.658012387,711249.00,198161.03,30
1,1,1010.001242,210.3142572,995327.21,74417.29,247503.10,21720.16,48.00000631,4.78335489,829051.00,190667.36,35
1,2,1159.998469,241.0181947,802312.29,53574.26,256418.49,17309.99,42.05602899,2.600461957,642828.00,209087.79,31
1,3,2029.99878,327.1519554,810514.95,40123.04,228228.40,13246.74,39.72167634,2.409390301,645279.00,179100.05,27
1,4,839.9993667,188.6500872,1243047.62,177501.88,320294.91,30909.93,41.94642667,3.777797589,885523.00,239734.04,28
2,0,1134.999127,145.2461798,570081.97,33410.14,154500.69,7056.77,22.05727463,1.491940468,474154.00,137179.12,16
2,1,200.0003819,49.87294813,606893.16,42174.77,145514.46,12818.94,25.7000261,3.193743248,560528.00,121560.04,17
2,2,304.999281,79.16967368,512061.23,36404.03,151434.14,9487.67,22.27867631,2.438290011,471173.00,131498.19,18
2,3,434.9996536,96.73151547,521782.16,50968.14,148167.43,12828.59,20.66666776,2.800341422,426289.00,132060.85,15
2,4,194.9998109,54.62891622,730822.81,106104.02,182641.82,16401.32,21.07693762,2.969016224,608123.00,160203.44,15
3,0,53789.98337,1960.275128,566518.55,11958.34,148495.65,2729.92,37.2054705,0.478310855,419353.00,111756.80,29
3,1,10490.00722,752.2933891,628480.86,33203.46,149458.58,5809.02,41.16937607,1.159883114,472293.00,117879.48,31
3,2,11354.98819,681.7810509,462645.82,16006.17,144143.54,6034.49,33.334059,0.869186935,356267.00,106863.63,26
3,3,22564.98574,1600.659988,499904.98,14953.57,133064.30,4119.72,36.8756639,0.813446069,386474.00,101619.63,29
3,4,9380.002227,499.7953955,787959.86,32952.52,191415.19,6975.51,38.2453132,0.919101159,573368.00,141735.04,29
4,0,44859.99278,848.0242452,341511.45,6094.16,86119.19,1280.57,28.83009612,0.336267117,251113.00,65499.80,23
4,1,8895.000744,389.7552757,366924.61,16623.34,91679.32,3209.19,32.85199687,0.963902464,269817.00,71796.34,26
4,2,9304.996902,348.7802856,258389.78,9106.93,78564.26,2819.16,24.62882804,0.710713617,201491.00,60429.70,20
4,3,18339.99571,590.5429032,306388.28,7438.84,76704.35,1733.49,29.0513043,0.489359476,234804.00,60459.07,23
4,4,8319.999423,311.2030484,491123.45,18729.51,110681.15,3468.89,28.74159249,0.705430185,372337.00,88083.16,23
5,0,4309.995247,470.0011541,519623.82,30920.69,145709.30,8534.37,23.23898857,1.275675188,386770.00,110345.27,17
5,1,705.0005471,158.6065557,565906.40,59277.09,142732.35,14591.23,24.27659592,1.783635407,412335.00,107969.00,19
5,2,959.9968083,214.7720415,460371.87,39422.65,143631.08,11771.71,23.54688979,2.547218307,370488.00,111385.16,16
5,3,1739.998865,324.2458662,410444.75,28482.81,119131.81,8277.81,20.22414365,1.171629097,330062.00,97236.38,15
5,4,904.9990265,210.9090652,756335.58,80472.56,201332.14,24174.46,27.90057238,4.172698149,553862.00,154005.08,20
6,0,1619.998009,192.1882405,289592.92,13815.85,81430.08,3419.88,9.799383579,0.51774894,249126.00,72456.80,8
6,1,315.0002607,76.25465452,313375.59,25951.38,73570.37,6990.55,9.111112577,0.67014122,297186.00,67494.37,8
6,2,414.9987143,97.66144941,275090.30,19982.35,85379.55,4845.08,10.08433387,1.089781599,237185.00,80443.19,8
6,3,649.9992069,129.5173632,240026.54,13566.06,73223.46,4683.97,9.107694189,0.740162774,214855.00,66582.17,7
6,4,239.9998266,69.3472522,417697.70,47554.99,107142.96,9512.17,12.08333979,1.789172693,346175.00,98048.16,8
7,0,1494.999125,238.0681243,462660.86,28014.92,125808.48,5089.95,17.72575596,0.606011191,378491.00,112174.63,15
7,1,0,0,629355.11,106634.82,110378.97,11946.30,20.39393795,2.512598462,479628.00,101246.10,17
7,2,0,0,377807.56,20605.51,123000.42,9995.13,17.45833908,0.888850829,332019.00,104427.41,14
7,3,644.9997049,160.5717164,409719.25,28396.17,121447.83,7018.53,18.02326005,0.935125558,348564.00,111267.70,15
7,4,0,0,577091.22,86001.81,145406.60,11395.07,16.07692408,0.842712399,459913.00,132813.51,14
8,0,754.99909,88.94601399,382865.38,24354.95,100055.98,4103.79,11.54304767,0.73546224,324343.00,92627.28,9
8,1,90.00006809,23.9080982,485247.71,94968.69,95226.51,11248.14,11.88888787,1.552590305,333375.00,73001.06,10
8,2,219.9992386,51.71938695,346377.35,21806.99,105181.79,6508.17,11.40908738,1.552458513,314789.00,101233.67,9
8,3,275.0001329,54.82413204,318154.62,30696.32,83842.71,5628.57,11.52727705,1.186341323,288559.00,76515.95,8
8,4,169.9996504,40.73347279,480561.96,67402.78,122206.79,9657.36,11.55882679,1.503703498,404371.00,120307.83,9
10,0,174.9997104,42.82516203,214320.13,15018.11,70757.67,3979.12,8.485710589,0.769234348,205680.00,71067.37,7
10,1,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0
10,2,0,0,226583.46,22232.43,75903.19,4488.38,7.947368731,0.403202743,236136.00,74069.89,7
10,3,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0
10,4,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0
11,0,5324.9966,310.1610196,159203.01,6253.42,44142.32,1301.46,13.71830912,0.393191112,122134.00,35780.04,11
11,1,960.0004169,111.5615547,180717.97,13173.71,47882.26,2850.79,15.71874479,0.970714503,143575.00,41236.47,12
11,2,1240.00015,162.9788228,128871.84,8021.10,40328.76,2450.33,12.66935029,0.757558397,106496.00,32779.16,10
11,3,2184.997358,221.9269948,136480.08,6832.70,38187.63,1524.88,13.25629533,0.577196468,107660.00,32710.65,11
11,4,939.998675,89.10774333,233512.86,25005.74,60047.96,4805.67,14.13297878,0.944915394,164247.00,48459.26,11
12,0,6414.995053,482.3376779,116655.32,4320.99,33759.23,954.93,10.04209053,0.22435246,92841.00,28884.63,8
12,1,1249.999478,193.4200761,129912.45,10358.15,35445.34,2333.43,10.7280023,0.570475769,98752.00,32251.91,9
12,2,1695.000356,233.3109391,106729.77,6325.14,34709.96,1825.66,10.24778847,0.494038948,85804.00,28947.74,8
12,3,2599.99632,360.9656026,103728.23,5812.99,29405.11,1223.47,9.523076466,0.299331539,83707.00,25209.47,8
12,4,869.9988992,102.5092631,158611.67,18119.57,43296.86,3339.52,10.20690362,0.577313218,113311.00,38044.86,8
13,0,3164.99734,297.6261467,76836.19,4058.32,21887.28,882.04,6.90205246,0.208343485,58629.00,17403.51,6
13,1,549.9993296,91.9623747,84067.30,7672.66,22352.03,1900.60,7.390917452,0.435003936,65650.00,19059.72,7
13,2,784.9995628,105.8884992,66184.55,4225.15,21007.59,1470.93,6.636940608,0.401758773,53387.00,16872.90,6
13,3,1369.99843,256.1476948,68563.31,5034.17,19852.11,1072.93,6.861308425,0.373445032,54442.00,16084.77,6
13,4,460.0000183,57.44761937,116359.59,18609.85,30024.86,3078.54,6.891305794,0.353237814,84297.00,22956.23,7
14,0,7699.985841,906.0265773,492128.99,28689.60,150818.42,8772.93,33.20649763,1.244488099,363672.00,111261.83,27
14,1,1764.999221,413.9182711,451361.48,41126.60,126789.25,13795.58,31.24646724,2.598654916,369508.00,102333.72,26
14,2,1855.00014,368.6838118,425185.58,49525.31,144489.55,20427.12,31.49325716,2.18292245,308416.00,99065.26,26
14,3,2354.987619,577.1312228,466713.68,40140.45,155887.52,15023.36,34.03396998,2.102586321,348001.00,111871.24,27
14,4,1724.998861,424.9089575,641559.26,68289.48,175501.20,16514.61,35.92465959,2.749818023,498374.00,136030.38,29
16,0,9024.985345,970.2958697,209675.23,9360.15,61678.35,2463.37,19.93296436,0.456229582,165913.00,50181.42,18
16,1,2094.999402,454.9282999,219006.33,12434.41,60804.50,4805.52,19.89975583,0.708628671,181190.00,50802.37,18
16,2,2369.998782,491.0575761,171556.82,10680.98,54411.19,3269.80,18.87975036,0.724210027,145042.00,46011.68,18
16,3,2954.987985,572.9599789,194952.73,14391.27,59435.33,4265.55,20.37225249,1.099481478,151437.00,47625.38,18
16,4,1604.999176,406.3171619,280769.46,27735.17,77656.97,5882.40,20.72274459,0.597784003,239071.00,65524.04,19
17,0,1244.998241,158.8035432,168270.59,13382.59,45952.94,3612.23,14.03614917,0.905360441,137827.00,41038.40,16
17,1,305.0001659,71.95755625,213317.55,22669.13,50705.95,6061.21,16.59017,1.228502355,184879.00,45302.71,18
17,2,305.0001375,79.00671339,122775.82,17890.03,38968.85,3804.45,12.4262387,1.576147007,95686.00,34452.51,14
17,3,399.998041,94.17540168,133984.01,19130.24,44809.41,8746.22,12.7874928,2.082777769,112871.00,33296.95,14
17,4,234.9998964,70.21117003,227211.66,41087.22,50795.05,7419.59,14.93617611,1.692529137,223468.00,54253.45,17
20,0,6114.999626,370.9594166,347156.15,13549.66,88482.84,2594.99,18.06868347,0.374584774,276725.00,75540.84,16
20,1,1050.000984,143.6503193,371242.95,25811.32,87995.58,3950.12,18.79047145,0.891145256,301962.00,78722.47,16
20,2,1339.996936,141.6671067,277523.54,11871.01,82834.01,3122.65,17.04477723,0.548766309,247160.00,73653.68,16
20,3,2294.999911,256.995654,286624.76,15724.82,74492.72,2817.31,17.42484155,0.546369524,236716.00,65574.30,16
20,4,1430.001796,175.6676954,501176.16,39478.15,118572.19,7331.89,19.53145804,0.968296821,399638.00,98108.72,17
21,0,2474.998383,163.4810169,261237.99,12488.63,64951.23,2226.20,14.34141457,0.280405849,218101.00,57174.57,14
21,1,460.0005056,69.37595937,282777.63,26556.94,64943.28,3510.09,14.67391558,0.704300135,245287.00,59114.58,14
21,2,549.9986628,68.91426595,208118.68,12295.30,63588.61,4732.02,14.0909047,0.59014742,181299.00,54893.98,13
21,3,924.9991873,103.0329884,222656.23,10569.93,55275.05,1802.18,14.42702945,0.415014198,191030.00,51193.49,14
21,4,540.0000269,80.92000005,371266.67,38544.92,84526.86,6176.66,14.16666601,0.658823362,304712.00,74291.21,14
22,0,984.9998611,73.2114114,207617.30,10575.24,51297.26,2208.77,10.04061394,0.394218049,163052.00,46891.84,10
22,1,165.0002274,28.16493353,225170.34,33525.53,55251.58,6904.83,9.606065512,1.11812725,176799.00,48317.40,10
22,2,204.9996345,33.41101436,169915.18,12157.17,50411.50,4951.64,9.073172271,0.665041217,145304.00,44551.79,10
