DRGID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
0,0,35358818,291302.2863,41633.03049,510.1481464,10884.67749,99.80313757,4.610626752,0.020190488,22343,6277.828,3
1,0,5595,554.7710754,980920.3073,47151.44649,263730.2954,9901.762884,43.83452379,1.831724996,769086,209542.55,30
1,1,1025,217.9346778,1048644.089,86663.03054,258094.5178,20174.01909,48.2243914,3.89239759,830936,217932,37
1,2,1355,265.9226697,827312.6728,59937.76777,241755.7934,16022.16942,39.92989542,2.722282805,686342,199512.37,30
1,3,2225,372.6418421,874708.3446,43422.78224,242089.9291,11956.71178,43.41215818,3.34167441,710547,196265.16,29
1,4,990,225.1635262,1370188.576,172827.0622,350379.1688,32164.64338,45.58078554,4.28851393,1097623,253472.336,30
2,0,935,115.8637774,566090.5983,34833.50461,153030.8124,7842.802681,22.21389715,1.550276939,495096,135424.746,17
2,1,190,44.72655438,626523.252,48208.75196,144124.5334,12955.36154,26.21052719,3.958023547,558929,130545.272,17
2,2,225,48.11144862,489491,38417.98009,149000.7272,15735.04218,19.6444365,1.885150953,420303,123569.082,15
2,3,370,83.99479387,504045.268,41504.46473,145948.114,12533.56595,22.31080603,2.867090609,488581,134086.256,17
2,4,0,0,757486.8539,128455.9004,187827.8747,18355.38197,20.76663906,2.518970755,638463,164981.25,20
3,0,53365,1760.172669,611575.2814,13038.089,155184.3868,3099.678309,37.99240317,0.519547842,449206,115208.856,29
3,1,10445,767.2332452,674358.0004,36572.37777,157433.829,8097.821344,41.83573512,1.363498237,494427,119303.891,32
3,2,11160,656.8309922,477570.568,15408.63487,142465.4659,6014.874048,32.11783332,0.882496595,370807,105349.936,25
3,3,22370,1347.291495,555376.9473,16296.04664,143133.8164,4686.325838,38.74993774,0.878006097,425811,107322.57,29
3,4,9390,512.7764109,840135.7764,39586.46882,197895.4526,7692.187134,38.90225123,0.995215945,621389,146640.379,29
4,0,44210,790.0529016,366010.3272,6756.956947,90067.21991,1530.787423,29.46566596,0.410075217,268144,68328.377,23
4,1,8445,350.7726778,410092.1082,21089.69095,98463.76771,3952.829971,34.74645883,1.077084814,292393,74394.51,27
4,2,9105,342.6395542,267106.904,8727.765854,78231.41204,2717.191957,25.13124701,0.691418417,207041,61901.568,20
4,3,18215,537.4565427,328850.3519,8948.913363,80793.03103,2539.744515,29.11174815,0.710087906,253681,62185.89,23
4,4,8445,308.0271358,514045.3638,17695.40244,115553.4735,3435.407473,29.6244105,0.727647262,402197,91192.332,23
5,0,4620,510.9329457,508700.5343,30821.84622,143496.2414,9807.505288,22.45562419,1.465516621,382416,110432.4,16
5,1,745,172.0355726,519189.3831,44950.68906,123512.822,8901.031586,22.44293954,1.418119442,408028,102536.08,19
5,2,1025,219.9161902,440826.8125,36544.61006,130652.5364,9824.158557,20.40976727,1.862932462,363160,110421.726,15
5,3,1900,358.4943329,428508.9159,37395.47044,127330.8412,11388.87942,20.83420513,1.786677161,322570,97455.252,14
5,4,950,233.6127552,736127.2616,75478.15931,205945.7264,30324.79311,27.91578198,5.127563465,610418,159635.088,18
6,0,1610,208.4189219,287579.0306,16360.44697,81485.76365,4385.691434,9.121116983,0.46083735,247779,73648.722,7
6,1,260,68.17531774,320841.3419,31115.83307,77004.37515,9168.478593,9.615378447,0.690207443,298700,64735.358,8
6,2,390,99.50381219,287692.8199,30742.22357,83125.83561,6747.14462,8.743591022,0.610489059,248751,83641.341,8
6,3,715,158.8569896,230026.4614,17151.28261,72002.92323,6539.908378,8.265735928,0.616989076,211739,66665.952,7
6,4,245,60.44850099,420058.8482,38413.36913,111305.2524,8905.825729,11.69387317,1.950457253,384034,100960.673,8
7,0,1445,225.6734914,520579.7702,32954.02588,139236.2333,7916.303952,20.23875846,1.333185255,423737,118275.936,15
7,1,0,0,744335.1456,113930.1811,119559.2749,12071.33138,21.77142935,1.401410617,683655,121300.865,18
7,2,0,0,436405.9664,31563.86255,129044.686,8472.842848,21.93150854,3.193914999,368295,103478.076,15
7,3,605,146.5049702,433033.2605,35303.27866,137401.6318,15706.17104,19.15703403,2.251782162,369891,115634.476,14
7,4,0,0,671535.3991,78569.63989,167281.4099,15002.80654,19.46666725,1.410336429,582400,145894.803,15
8,0,625,83.98668997,379538.0207,21668.35311,101766.7951,4526.947824,10.34400013,0.723529271,339895,94402.672,9
8,1,0,0,431552.67,106544.4896,92269.76479,19743.69645,9.454547855,1.808216501,348377,66228.684,7
8,2,190,49.98304146,339406.652,19595.3803,100263.2409,6221.215925,10.5526287,0.877507429,319854,99974.736,9
8,3,240,50.47450791,341910.7067,23910.927,95274.88642,6941.015515,10.02083121,1.310478824,323729,90967.849,8
8,4,140,40.13640868,478071.504,67226.16557,118667.2978,10452.14138,10.96429421,1.876536842,390380,104763.648,9
10,0,170,39.25480756,264411.3523,20608.52723,75551.25564,4132.149528,8.647053279,0.937930471,246501,75060.814,7
10,1,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,282528.7465,27389.27449,79507.41934,5928.687131,8.749991947,1.35805666,259726,76363.915,7
10,3,0,0,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0,0
11,0,5245,302.1816622,170902.253,6884.875181,45572.07265,1314.829516,13.95519519,0.445982167,123456,35522.664,10
11,1,965,111.1378792,208164.1589,20556.71829,51703.9365,3482.334148,17.1088067,1.389204121,152839,37872.066,12
11,2,1210,162.7373293,139643.9839,9037.313428,40165.73783,2177.167082,12.22314365,0.793449421,113916,31683.868,9
11,3,2165,207.7699725,148121.0587,8582.596732,40478.77465,1793.008038,13.35103539,0.606151623,108106,32229.776,11
11,4,905,96.49004579,230237.0619,19211.13599,59124.86496,4104.885863,14.35359213,0.895059513,183354,49686.831,11
12,0,6540,457.8584932,126039.7821,4841.986962,35182.83997,928.1359192,10.2629939,0.254209962,101714,30761.94,8
12,1,1200,183.540317,146760.359,13491.21055,36650.24645,2310.644791,11.74582797,0.632756948,126566,30908.61,9
12,2,1690,236.8995692,109593.3942,6094.445074,34038.07343,2034.271628,9.437865966,0.476542134,92672,29479.121,8
12,3,2620,325.2751196,114046.0245,7319.191338,32279.27916,1223.099258,10.16221161,0.399939616,97957,28862.938,9
12,4,1030,118.4147058,162669.2498,13202.09874,43548.21398,2314.000563,10.14562889,0.569328645,122047,37796.148,8
13,0,2845,207.4695403,78920.02922,3261.09502,22053.25814,682.201936,6.560632263,0.127413909,64684,18929.855,6
13,1,590,86.23141191,82759.01028,8685.972561,21815.7173,1536.587722,6.694912395,0.331680434,67747,17698.905,7
13,2,605,90.7918209,74680.57041,6511.571612,22517.39391,1643.033219,6.396695761,0.250865081,64169,18929.855,6
