ProviderID,Year,CostToChargeRatio
'010001',2014,0.31247
'010005',2014,0.68151
'010006',2014,0.23694
'010007',2014,0.60203
'010008',2014,0.42322
'010011',2014,0.26692
'010012',2014,0.28226
'010016',2014,0.24267
'010019',2014,0.43802
'010021',2014,0.687
'010022',2014,0.47479
'010023',2014,0.38845
'010024',2014,0.32841
'010029',2014,0.80889
'010032',2014,0.73256
'010033',2014,0.25989
'010034',2014,0.78067
'010035',2014,0.35375
'010036',2014,0.29342
'010038',2014,0.26887
'010039',2014,0.24279
'010040',2014,0.11984
'010044',2014,0.96942
'010045',2014,0.58932
'010046',2014,0.14604
'010047',2014,0.6254
'010049',2014,0.24793
'010051',2014,1.20324
'010052',2014,0.72473
'010055',2014,0.22523
'010056',2014,0.40016
'010058',2014,0.5612
'010059',2014,0.5001
'010061',2014,0.65986
'010062',2014,0.88806
'010065',2014,0.95187
'010069',2014,0.45881
'010073',2014,0.89617
'010078',2014,0.23602
'010079',2014,0.47329
'010083',2014,0.18912
'010085',2014,0.44568
'010086',2014,0.3765
'010087',2014,0.52859
'010089',2014,0.37062
'010090',2014,0.31806
'010091',2014,0.56327
'010092',2014,0.34114
'010095',2014,1.17925
'010097',2014,0.90866
'010099',2014,0.70089
'010100',2014,0.49166
'010101',2014,0.47821
'010102',2014,1.00679
'010103',2014,0.20468
'010104',2014,0.18152
'010108',2014,0.32431
'010109',2014,0.7797
'010110',2014,0.34612
'010112',2014,0.73624
'010113',2014,0.39084
'010114',2014,0.2471
'010118',2014,0.22669
'010120',2014,0.84911
'010125',2014,0.35325
'010126',2014,0.34233
'010128',2014,1.04439
'010129',2014,0.73606
'010130',2014,0.43162
'010131',2014,0.16188
'010138',2014,0.62449
'010139',2014,0.14336
'010144',2014,0.45991
'010146',2014,0.46757
'010148',2014,0.43137
'010149',2014,0.31095
'010150',2014,0.21466
'010157',2014,0.37863
'010158',2014,0.352
'010164',2014,0.36869
'010168',2014,0.32361
'010169',2014,0.25805
'011300',2014,1.49902
'011302',2014,0.55558
'011304',2014,1.2149
'011305',2014,0.63973
'012006',2014,0.55389
'012007',2014,0.38024
'012008',2014,0.26634
'012009',2014,0.33901
'012010',2014,0.31942
'012011',2014,0.28191
'012012',2014,0.28113
'012013',2014,0.25067
'013025',2014,0.4949
'013027',2014,0.76371
'013028',2014,0.45089
'013029',2014,0.35457
'013030',2014,0.53814
'013032',2014,0.48467
'013033',2014,0.52721
'013300',2014,0.38149
'013301',2014,0.56773
'014000',2014,0.42346
'014006',2014,0.52212
'014007',2014,0.98661
'014009',2014,1.34597
'014012',2014,1.36543
'014014',2014,1.31684
'014016',2014,0.46538
'014017',2014,1.7202
'014018',2014,0.62197
'020001',2014,0.31955
'020006',2014,0.30531
'020008',2014,0.82978
'020012',2014,0.86421
'020017',2014,0.28212
'020024',2014,0.6664
'021301',2014,1.98942
'021306',2014,1.11413
'021307',2014,1.77488
'021308',2014,1.55248
'021311',2014,0.85426
'021313',2014,1.38605
'022001',2014,0.5163
'024001',2014,0.25646
'024002',2014,1.04875
'030001',2014,0.30402
'030002',2014,0.22196
'030006',2014,0.32284
'030007',2014,0.30415
'030010',2014,0.29802
'030011',2014,0.29032
'030012',2014,0.37031
'030013',2014,0.38417
'030014',2014,0.23078
'030016',2014,0.50743
'030022',2014,0.21641
'030023',2014,0.36447
'030024',2014,0.24545
'030030',2014,0.31622
'030033',2014,0.30309
'030036',2014,0.21231
'030037',2014,0.23912
'030038',2014,0.24052
'030043',2014,0.44427
'030055',2014,0.24679
'030061',2014,0.29439
'030062',2014,0.69641
'030064',2014,0.25555
'030065',2014,0.29757
'030068',2014,0.65419
'030069',2014,0.24585
'030083',2014,0.3982
'030085',2014,0.17692
'030087',2014,0.27414
'030088',2014,0.20635
'030089',2014,0.28869
'030092',2014,0.24126
'030093',2014,0.3119
'030094',2014,0.29068
'030101',2014,0.10154
'030103',2014,0.59336
'030105',2014,0.21095
'030107',2014,0.4656
'030108',2014,0.49996
'030110',2014,0.26818
'030111',2014,0.27475
'030112',2014,0.41615
'030114',2014,0.22936
'030115',2014,0.23845
'030117',2014,0.20547
'030118',2014,0.48239
'030119',2014,0.25359
'030120',2014,0.84098
'030121',2014,0.22883
'030122',2014,0.36944
'030123',2014,0.28695
'030130',2014,0.4761
'030131',2014,0.41164
'030132',2014,0.74865
'030134',2014,0.49427
'030135',2014,0.62008
'031300',2014,0.69715
'031301',2014,1.34059
'031302',2014,1.28438
'031303',2014,1.28971
'031304',2014,1.54373
'031309',2014,1.13794
'031311',2014,0.37368
'031312',2014,0.80413
'031313',2014,0.59503
'031314',2014,0.89462
'031315',2014,1.19344
'031317',2014,0.71497
'032000',2014,0.32997
'032001',2014,0.32542
'032002',2014,0.33432
'032004',2014,0.29565
'032005',2014,0.35225
'032006',2014,0.27747
'032007',2014,0.24361
'032008',2014,0.37906
'033025',2014,0.63176
'033028',2014,0.52655
'033029',2014,0.58019
'033032',2014,0.53879
'033034',2014,0.45624
'033036',2014,0.49194
'033037',2014,0.46657
'033038',2014,0.47048
'033302',2014,0.33923
'034004',2014,0.43358
'034013',2014,0.26649
'034020',2014,0.53542
'034021',2014,0.96869
'034022',2014,0.38649
'034023',2014,0.74424
'034024',2014,0.31465
'034025',2014,1.1528
'034026',2014,0.23254
'034028',2014,0.34375
'034029',2014,0.35433
'034030',2014,0.33554
'040001',2014,0.35909
'040002',2014,1.15547
'040004',2014,0.26104
'040007',2014,0.23973
'040010',2014,0.42737
'040011',2014,0.73347
'040014',2014,0.34527
'040015',2014,0.71198
'040016',2014,0.40434
'040017',2014,0.52655
'040018',2014,0.34751
'040019',2014,0.30788
'040020',2014,0.81864
