RegionType,RegionID,CatID,CatVal,Year,Population
2,1018,2,2,2012,11117
2,1018,4,1,2012,19876
2,1018,4,2,2012,1059
2,1018,4,3,2012,333
2,1018,4,4,2012,83
2,1018,4,5,2012,163
2,1018,4,6,2012,256
2,1019,0,0,2012,11108
2,1019,1,1,2012,2580
2,1019,1,2,2012,4086
2,1019,1,3,2012,3207
2,1019,1,4,2012,1235
2,1019,2,1,2012,6355
2,1019,2,2,2012,4753
2,1019,4,1,2012,6865
2,1019,4,2,2012,4029
2,1019,4,3,2012,159
2,1019,4,4,2012,10
2,1019,4,5,2012,22
2,1019,4,6,2012,23
2,1022,0,0,2012,82173
2,1022,1,1,2012,18896
2,1022,1,2,2012,27304
2,1022,1,3,2012,22801
2,1022,1,4,2012,13172
2,1022,2,1,2012,40732
2,1022,2,2,2012,41441
2,1022,4,1,2012,76314
2,1022,4,2,2012,749
2,1022,4,3,2012,3361
2,1022,4,4,2012,325
2,1022,4,5,2012,320
2,1022,4,6,2012,1104
2,1023,0,0,2012,7885
2,1023,1,1,2012,1319
2,1023,1,2,2012,2271
2,1023,1,3,2012,2603
2,1023,1,4,2012,1692
2,1023,2,1,2012,3854
2,1023,2,2,2012,4031
2,1023,4,1,2012,5901
2,1023,4,2,2012,1701
2,1023,4,3,2012,134
2,1023,4,4,2012,19
2,1023,4,5,2012,30
2,1023,4,6,2012,100
2,1024,0,0,2012,84616
2,1024,1,1,2012,19095
2,1024,1,2,2012,29786
2,1024,1,3,2012,23597
2,1024,1,4,2012,12138
2,1024,2,1,2012,41260
2,1024,2,2,2012,43356
2,1024,4,1,2012,58895
2,1024,4,2,2012,14849
2,1024,4,3,2012,7587
2,1024,4,4,2012,666
2,1024,4,5,2012,951
2,1024,4,6,2012,1668
2,1025,0,0,2012,15875
2,1025,1,1,2012,3809
2,1025,1,2,2012,4904
2,1025,1,3,2012,4543
2,1025,1,4,2012,2619
2,1025,2,1,2012,7336
2,1025,2,2,2012,8539
2,1025,4,1,2012,7054
2,1025,4,2,2012,8411
2,1025,4,3,2012,243
2,1025,4,4,2012,39
2,1025,4,5,2012,13
2,1025,4,6,2012,115
2,1026,0,0,2012,190571
2,1026,1,1,2012,44493
2,1026,1,2,2012,67981
2,1026,1,3,2012,50489
2,1026,1,4,2012,27608
2,1026,2,1,2012,95838
2,1026,2,2,2012,94733
2,1026,4,1,2012,130951
2,1026,4,2,2012,46209
2,1026,4,3,2012,7316
2,1026,4,4,2012,2039
2,1026,4,5,2012,521
2,1026,4,6,2012,3535
2,1027,0,0,2012,9783
2,1027,1,1,2012,2095
2,1027,1,2,2012,3102
2,1027,1,3,2012,2918
2,1027,1,4,2012,1668
2,1027,2,1,2012,4708
2,1027,2,2,2012,5075
2,1027,4,1,2012,7273
2,1027,4,2,2012,1998
2,1027,4,3,2012,159
2,1027,4,4,2012,32
2,1027,4,5,2012,70
2,1027,4,6,2012,251
2,1028,0,0,2012,39929
2,1028,1,1,2012,9923
2,1028,1,2,2012,14671
2,1028,1,3,2012,9936
2,1028,1,4,2012,5399
2,1028,2,1,2012,19968
2,1028,2,2,2012,19961
2,1028,4,1,2012,27761
2,1028,4,2,2012,6878
2,1028,4,3,2012,3340
2,1028,4,4,2012,605
2,1028,4,5,2012,222
2,1028,4,6,2012,1123
2,1029,0,0,2012,16224
2,1029,1,1,2012,4148
2,1029,1,2,2012,5263
2,1029,1,3,2012,4261
2,1029,1,4,2012,2552
2,1029,2,1,2012,7745
2,1029,2,2,2012,8479
2,1029,4,1,2012,8062
2,1029,4,2,2012,6977
2,1029,4,3,2012,768
2,1029,4,4,2012,56
2,1029,4,5,2012,0
2,1029,4,6,2012,361
2,1031,0,0,2012,7349
2,1031,1,1,2012,1681
2,1031,1,2,2012,2067
2,1031,1,3,2012,2307
2,1031,1,4,2012,1294
2,1031,2,1,2012,3550
2,1031,2,2,2012,3799
2,1031,4,1,2012,3099
2,1031,4,2,2012,4120
2,1031,4,3,2012,4
2,1031,4,4,2012,0
2,1031,4,5,2012,0
2,1031,4,6,2012,126
2,1032,0,0,2012,32823
2,1032,1,1,2012,7403
2,1032,1,2,2012,9964
2,1032,1,3,2012,9185
2,1032,1,4,2012,6271
2,1032,2,1,2012,15419
2,1032,2,2,2012,17404
2,1032,4,1,2012,29260
2,1032,4,2,2012,1996
2,1032,4,3,2012,926
2,1032,4,4,2012,296
2,1032,4,5,2012,1
2,1032,4,6,2012,344
2,1033,0,0,2012,12362
2,1033,1,1,2012,2583
2,1033,1,2,2012,3527
2,1033,1,3,2012,3817
2,1033,1,4,2012,2435
2,1033,2,1,2012,6222
2,1033,2,2,2012,6140
2,1033,4,1,2012,10372
2,1033,4,2,2012,1714
2,1033,4,3,2012,104
2,1033,4,4,2012,26
2,1033,4,5,2012,23
2,1033,4,6,2012,123
2,1035,0,0,2012,4668
2,1035,1,1,2012,1141
2,1035,1,2,2012,1604
2,1035,1,3,2012,1246
2,1035,1,4,2012,677
2,1035,2,1,2012,2156
2,1035,2,2,2012,2512
2,1035,4,1,2012,3790
2,1035,4,2,2012,579
2,1035,4,3,2012,219
2,1035,4,4,2012,0
2,1035,4,5,2012,27
2,1035,4,6,2012,53
2,1036,0,0,2012,98406
2,1036,1,1,2012,21245
2,1036,1,2,2012,33741
2,1036,1,3,2012,26810
2,1036,1,4,2012,16610
2,1036,2,1,2012,47246
2,1036,2,2,2012,51160
2,1036,4,1,2012,84837
2,1036,4,2,2012,9358
2,1036,4,3,2012,2159
2,1036,4,4,2012,705
2,1036,4,5,2012,403
2,1036,4,6,2012,944
2,1037,0,0,2012,58633
2,1037,1,1,2012,13234
2,1037,1,2,2012,17978
2,1037,1,3,2012,16251
2,1037,1,4,2012,11170
2,1037,2,1,2012,28159
2,1037,2,2,2012,30474
2,1037,4,1,2012,47883
2,1037,4,2,2012,4280
2,1037,4,3,2012,4273
2,1037,4,4,2012,505
2,1037,4,5,2012,272
2,1037,4,6,2012,1420
