DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
1 ,0,5160.006003,227.7068253,85153.95843,4751.052541,24261.2051,1367.005197,14.6879895,0.654280113,43344,13013.604,9
1 ,1,970.0007287,89.06367432,99521.08257,10596.33755,28375.84828,2996.183935,18.62369809,1.96786187,56085,15827.72,10
1 ,2,655.0017697,70.78779918,64706.38183,8424.281226,24288.72089,3712.282019,12.82443783,1.56803163,36071,12510.661,8
1 ,3,2149.999822,137.8020822,57473.2054,3808.43894,16452.3438,1087.603434,12.35582227,0.792656453,34087,10350.621,8
1 ,4,1385.003683,141.1302018,129623.3114,13977.68322,34017.50148,3934.319976,16.43321848,1.339697159,66440,16687.931,10
2 ,0,1132655.256,14039.85819,67584.83612,934.2737947,18444.25668,179.1315734,7.771458169,0.040842955,36712,11052.558,5
2 ,1,204894.6349,5978.814195,70427.60151,2461.132369,19310.73382,396.0531182,8.77920086,0.110390687,37694,11756.781,6
2 ,2,245144.7281,6138.528413,52349.19476,1076.849459,16930.57258,277.8830817,7.184233025,0.065947395,30790,10509.324,5
2 ,3,417835.397,8841.323873,60509.057,1350.053999,16416.11566,278.4999079,7.942486742,0.065014056,33584,9984.168,6
2 ,4,264780.4956,6746.914847,92971.03071,2526.406374,22815.20166,461.4028939,7.265385321,0.088393254,50426,13260.375,5
3 ,0,7910.004445,304.6565414,47210.07836,2216.548251,14401.54165,651.0908289,6.7951922,0.241357862,21634,7270.5,4
3 ,1,1559.995951,135.7176499,48844.79736,5343.56548,13125.01391,1190.054386,6.634617233,0.484335367,23454,7015.538,4
3 ,2,1739.995512,122.6007229,41427.90394,4124.671241,14995.38659,1531.284376,6.307473474,0.35672344,20920,8262.882,4
3 ,3,3040.007539,210.6877152,39104.05292,3030.514722,11721.17628,923.8649818,6.485185347,0.294485926,18103,6009.024,4
3 ,4,1570.005443,122.3767836,68628.34882,6535.123837,20557.78357,1830.172753,8.095536648,0.865658522,31736,9811.8,5
4 ,0,26160.00324,593.175414,70464.0779,2843.162132,19841.72959,1034.033603,8.231076634,0.159352354,33077,9461.508,5
4 ,1,4344.99271,182.2632532,74645.34027,5539.992689,19385.82537,1139.242009,8.631770082,0.340090774,32216,9531.412,5
4 ,2,5714.99363,246.818263,56194.1369,2911.981639,18291.83899,850.6708819,7.839899268,0.249260701,28394,9634.064,5
4 ,3,11475.00585,463.0147212,60836.75285,4323.671749,17715.31486,2024.504488,8.118946692,0.279740586,31088,8457.797,5
4 ,4,4625.011046,208.1713029,109234.9012,10414.69574,27759.08945,2727.196572,8.61621253,0.374136696,50903,13099.877,5
5 ,0,38625.02705,1354.883847,70390.28744,2068.061627,19125.93664,444.5277111,9.240159561,0.201784961,36918,10402.08,6
5 ,1,8900.000492,759.1687847,72282.62492,4814.351726,19268.39763,837.0902404,9.47472465,0.288023058,37131,10574.146,6
5 ,2,4615.012396,344.2676071,54225.5071,3756.08917,17604.69183,1176.25512,7.569879718,0.305381999,29325,9502.92,5
5 ,3,19190.00199,980.7156753,63268.70722,2196.783068,17334.23246,514.4148921,9.258208499,0.21591157,35527,9991.296,6
5 ,4,5920.012167,423.1424969,103733.4172,7100.648409,26100.32948,1605.546477,10.13487761,0.974000453,52073,13203.008,6
6 ,0,47720.04975,1192.851102,51122.01026,2213.798488,13609.7255,552.3810224,5.299873255,0.090821911,23676,6662.172,4
6 ,1,8614.996996,517.4469073,60272.53641,5398.404326,14683.57642,1059.638271,5.826468865,0.202455213,26588,7488.812,4
6 ,2,7970.004973,479.2268546,41893.06235,3715.318258,12682.44391,915.7976778,4.887080303,0.149142384,19048,6319.368,3
6 ,3,19945.01874,812.132974,43248.16434,2887.47014,12035.67282,820.7030911,5.310852401,0.149478711,21617,6134.626,4
6 ,4,11190.02905,515.6782943,65133.11396,6125.323973,16357.43175,1539.978608,5.168896204,0.202992296,29871,7608.976,3
7 ,0,69059.98899,1437.077119,25193.39643,694.615167,7266.736545,197.2164737,3.656817979,0.04676283,14209,4351.274,3
7 ,1,16459.97519,744.1383,26574.79462,1263.275955,7299.660562,343.7475836,3.61118002,0.087618499,15630,4738.175,3
7 ,2,15424.97568,674.1975542,19968.7614,727.48215,6989.743322,284.2337921,3.472287135,0.082363588,12141,4362.876,2
7 ,3,26410.01896,906.7449548,23348.63628,1192.477128,6593.006705,352.7425279,3.781774501,0.085604242,12887,3818.401,3
7 ,4,10765.01917,484.479187,35357.04864,2435.56769,9360.137493,619.3958438,3.68462598,0.119872787,19328,5275.05,2
8 ,0,17105.00185,421.6563096,39690.71228,1610.853294,11515.43711,409.1245908,5.023978089,0.100211073,22091,7052.4,4
8 ,1,5419.996095,255.8779986,42201.71919,3937.721034,11535.86198,880.6559597,4.928969776,0.206917002,22475,7276.1,3
8 ,2,3414.996893,184.633146,32486.24234,2231.03512,11214.65824,732.8674103,4.834560053,0.19127184,19931,7265.214,3
8 ,3,6435.001804,258.7483149,34151.7811,1665.526509,9953.145293,512.3090285,4.973560141,0.132940788,20731,6447.76,4
8 ,4,1835.007061,106.2092472,65905.15434,5996.360646,17776.67403,1646.034584,5.833781068,0.396308635,34081,9580.044,4
9 ,0,3775.003548,169.3845573,40296.75168,2295.998473,11427.62232,578.9946308,5.641910021,0.376953302,23512,7114.125,3
9 ,1,864.9998623,68.29855144,38993.1096,3564.262714,10507.87693,885.8647401,6.127175353,0.589938587,25722,7390.455,4
9 ,2,785.0016099,74.47141606,35271.23368,4148.543274,12210.00755,1507.428055,4.828027524,0.489253173,21058,6609.604,3
9 ,3,1350.001088,104.3483841,40709.93022,4108.25019,11463.43704,1012.152382,6.666662082,0.91069843,22492,7020.71,4
9 ,4,775.0009882,87.13127489,46137.31634,6381.966921,11663.47957,1243.341677,4.129870698,0.336676589,26490,7363.96,3
10 ,0,0,0,0,0,0,0,0,0,0,0,0
10 ,1,189.9998636,29.94226027,20469.82938,3354.531584,5834.391727,836.2571721,3.894738825,0.490620584,18154,3955.04,3
10 ,2,0,0,6784.532637,1897.004934,3261.033682,653.2722483,4.500024307,1.165322859,2731,1561.417,2
10 ,3,0,0,0,0,0,0,0,0,0,0,0
10 ,4,285.0007943,53.7417412,29990.19407,6199.597635,6920.021912,1170.719745,4.894728045,0.801059651,16826,4829.76,4
11 ,0,31009.99513,1571.240931,79030.54498,2727.032033,23018.00808,573.6081359,7.265560837,0.119792346,49102,15156.28,5
11 ,1,6539.996721,725.0711909,84766.18269,7585.559182,22407.88666,879.2099299,7.83486622,0.270485917,50470,14997.06,5
11 ,2,7085.006338,731.6071777,67566.57811,3117.842353,22400.38816,1096.863513,6.558931718,0.209662627,45495,15639.642,5
11 ,3,12014.98708,1096.415642,71526.41162,3127.52315,21103.47286,826.7651274,7.451934987,0.209609662,44985,13526.289,5
11 ,4,5370.00499,453.5344613,105813.0833,9041.937045,29331.22008,2084.323533,7.087522537,0.292436744,65245,18655.88,5
12 ,0,11824.99875,363.3578779,89802.18221,3514.637956,25803.16516,1027.520023,9.311629437,0.243138102,48148,13871.625,7
12 ,1,2599.994674,199.8704061,99454.81779,9024.575855,26925.56008,2662.635755,9.551926618,0.525114038,55186,14650.055,7
12 ,2,2739.998765,181.738042,76456.16134,5724.017743,25066.89445,1700.958346,8.930666122,0.389896952,42661,14160.456,7
12 ,3,4375.001319,208.2981719,75740.64273,3539.361956,21750.48862,1100.232302,9.204570615,0.424467907,42893,12280.87,7
12 ,4,2110.00399,125.1555987,127521.8515,12205.03798,34604.7441,3585.637373,9.732221111,0.643146066,62228,15779.868,6
13 ,0,22875.00692,676.5425078,89143.48118,2622.419088,24517.1539,568.9227638,9.358688658,0.143890184,54194,16027.44,7
13 ,1,5314.996057,377.2471607,91435.02251,6071.301566,24616.68348,1116.933097,9.773284624,0.32623779,55927,16931.14,7
13 ,2,4470.002665,309.6035671,75634.61723,4653.278192,24334.22027,1458.906213,9.104030281,0.365672777,49171,16123.793,7
13 ,3,8025.001813,399.8008519,79366.11212,3112.024564,22225.58654,765.3487631,9.641120686,0.244849227,47466,14218.732,7
