MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
18 ,0,1428045.283,15464.41115,61440.9079,802.6359518,16851.68393,150.6091053,7.22398711,0.03355843,32426,9834.825,5
18 ,1,266499.5575,6792.353182,63483.54829,2219.555816,17356.48973,339.0629841,7.947430609,0.092566935,32676,10239.936,5
18 ,2,311759.6466,6937.86592,47854.48548,907.426613,15591.18681,234.962192,6.693674939,0.056633948,27363,9426.263,5
18 ,3,533380.4741,9683.977508,54926.97484,1083.987952,14938.19295,224.8700607,7.347053779,0.050383782,29747,8840.65,5
18 ,4,316405.6046,7148.324733,86179.29505,2271.53244,21315.99111,414.7114455,6.929705979,0.076792474,45387,12073.59,5
19 ,0,1428059.928,41514.99502,20495.28875,409.516348,6196.990968,116.957959,7.590547556,0.109627532,12881,4015.491,5
19 ,1,331804.5288,16123.17481,28915.33401,1177.668398,8998.507698,314.2176657,10.25126974,0.283412261,17188,5652.467,6
19 ,2,378809.2287,20328.42693,15771.16,528.140089,5267.08395,164.9688857,6.5474996,0.116590504,11052,3730.008,5
19 ,3,506616.7789,28093.44015,16199.70854,458.6008634,4618.566948,122.0731051,6.655852911,0.150588262,11524,3331.967,5
19 ,4,210829.392,16157.09519,25951.36473,1219.968492,7230.35912,338.5572586,7.523504841,0.285996722,15892,4531.644,5
20 ,0,423400.1247,15764.09382,17460.55978,353.5257405,5310.593815,94.61692587,4.614376123,0.108621416,11172,3596.52,3
20 ,1,138184.8356,12220.44226,18213.87326,804.6536522,5778.201044,218.2125538,5.401381159,0.217040741,11704,3967.458,4
20 ,2,103139.883,6104.495635,13381.78269,446.7601449,4583.556362,154.6087039,3.839772616,0.130546265,9024,3074.85,3
20 ,3,116795.2519,6609.127362,15716.5735,499.1094149,4460.284343,118.6753771,4.051652816,0.082841197,10573,3145.312,3
20 ,4,65280.15413,4268.725022,25659.94255,1017.204091,7041.779403,262.4108248,5.178629936,0.411189637,16591,4697.56,3
21 ,0,561620.2655,6356.017393,35153.38167,584.2918115,9817.079741,132.8048119,3.910123037,0.03005579,18266,5465.691,2
21 ,1,105084.894,2824.507062,37419.84135,1841.531376,10054.18707,306.8020624,4.199839138,0.076708407,18266,5601.96,2
21 ,2,129799.8937,2969.665086,27514.32456,607.4849988,9099.810609,216.0547367,3.682116697,0.058736503,15214,5164.77,2
21 ,3,214305.2131,4075.975908,32507.35832,755.7034675,8874.239211,196.0263433,3.977336076,0.047304717,17459,4967.724,2
21 ,4,112430.2647,2643.601073,47129.05758,1697.63149,12300.32053,402.1026959,3.774613796,0.068375876,24768,6795.4,2
22 ,0,32040.0535,3406.897346,99963.38572,6645.785989,28133.14068,1817.903863,8.402468157,0.353915179,31280,7972.5,4
22 ,1,5880.001607,1199.837253,97980.61331,11509.878,24227.74798,2795.775613,8.160721517,0.689468689,32787,8545.026,4
22 ,2,6605.03048,850.6301622,77852.47201,6404.724098,26265.85088,2478.048226,8.086304136,0.548225342,22677,7551.108,3
22 ,3,13039.99448,2868.10624,90932.98155,10687.14056,25193.11267,2594.806671,8.085884443,0.679577587,30264,6732.08,3
22 ,4,6515.026933,1103.510316,141259.4868,20643.19303,39402.7785,5378.88026,9.574833763,0.576339656,47017,13103.145,5
23 ,0,609740.0221,14208.30206,37894.02445,730.3561804,11173.6394,181.405908,9.901145595,0.114033704,26189,8161.615,8
23 ,1,109574.8464,6513.877711,43260.47754,2326.101777,12442.04067,518.422185,9.559002782,0.283083316,29147,9088.6,8
23 ,2,165034.4923,6514.705253,30497.69346,812.404654,11061.54339,345.6593604,9.628293485,0.151484454,22852,8339.632,8
