PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
201 ,0,34575.02442,2152.384941,28642.60053,1224.887167,7362.851115,155.546294,2.702530361,0.047892892,21450,6057.648,2
201 ,1,13704.99993,1485.816877,27502.56624,1506.724919,7181.508262,204.7769495,2.817219731,0.069805731,20326,5848.416,2
201 ,2,5079.998256,882.3235931,20844.02623,1064.814607,6794.109816,253.3138336,2.383858754,0.088136421,17805,5902.665,2
201 ,3,7400.002987,844.0982094,24135.33998,1182.91681,6431.477989,168.597573,2.77094601,0.0990915,20266,5528.664,2
201 ,4,8390.023243,966.4949198,41349.46445,4126.635128,9128.500118,472.1441095,2.647793612,0.117630702,29903,7430.681,2
202 ,0,21270.08999,4726.506882,15850.57342,1670.938934,6100.651194,329.3803885,3.392097942,0.209584195,10956,4655.82,2
202 ,1,11750.00628,3390.973361,16356.53852,2372.770449,5635.862117,407.0274935,3.131486762,0.307998825,11046,4235.64,2
202 ,2,0,0,15410.32236,1818.271035,6039.347251,612.8191923,3.83761919,0.878155065,11348,5316.048,2
202 ,3,0,0,12164.99319,1965.700516,6445.390864,618.4905637,4.133699343,0.624150473,8781,5011.435,3
202 ,4,0,0,20052.36036,1649.262129,7152.894892,804.7344975,3.033089213,0.122029411,14267,5339.163,2
203 ,0,27514.99713,4359.762198,18302.1659,1809.192953,6472.428868,454.6867776,3.120655551,0.114557976,12250,4578.696,2
203 ,1,18209.93338,3357.710048,18024.27792,2499.363282,6664.909106,618.1030035,3.209219821,0.127291817,11156,4606.518,2
203 ,2,0,0,8729.249096,1207.327825,8096.527798,554.429131,2.824680294,0.262470144,7389,6638.564,2
203 ,3,0,0,11699.49355,2076.236015,6132.382357,594.1255005,3.59293023,0.332729428,9052,5177.31,3
203 ,4,0,0,22433.61268,1886.426688,5842.773115,852.4515233,2.748046415,0.310562956,16189,3958.392,2
204 ,0,2464.998905,209.8050144,93285.0882,8048.866752,24686.74752,1794.109217,8.894524863,0.48983634,57406,15789.875,6
204 ,1,379.9994706,54.3635279,99778.83044,14053.09105,26574.34571,4231.676002,9.710536164,1.047307338,78249,18545.268,8
204 ,2,494.9999142,113.3290882,57365.49896,4644.43998,16953.45613,1080.691488,7.636368917,0.506415352,48765,14892.612,7
204 ,3,964.9990403,138.9846228,64517.36288,4544.698322,17938.36718,1643.958669,8.393783536,0.79823292,47669,12734.434,6
204 ,4,625.0004799,94.35328972,165993.7384,25278.29649,40937.79497,5399.947327,10.16799288,1.307933989,104008,23443.56,6
205 ,0,14889.97556,2483.588785,35343.32339,4558.257779,10207.52136,702.058978,4.947278797,0.173626078,23709,7575.88,4
205 ,1,0,0,40394.62585,7431.23899,11125.81349,1357.56225,5.543631451,0.436099779,28874,8427.046,4
205 ,2,4069.988409,1118.001123,27603.61264,2380.891123,8778.220021,573.144361,4.456999905,0.202198008,20359,6605.417,3
205 ,3,0,0,24280.98473,1966.545734,8610.800936,494.9074512,4.92476883,0.238661821,19290,6948.216,4
205 ,4,0,0,56111.47055,14087.97647,13397.90411,1893.872771,4.950081009,0.319867579,37236,9737.46,4
206 ,0,0,0,28768.3992,3242.886182,9797.503579,997.4296631,4.642244199,0.931862012,18877,7176.093,3
206 ,1,149.9998133,42.1823683,24126.6246,5351.610967,8743.430237,1931.986673,6.333350962,1.842406749,15711,7517.744,3
206 ,2,109.9996769,27.133406,17539.20961,2941.844112,7974.398259,1214.70267,5.136361941,0.988926756,16882,6871.228,4
206 ,3,160.000804,43.71458446,32488.44795,5548.16353,11422.29062,1769.056286,10.37497803,2.672803416,19730,7176.093,6
206 ,4,0,0,42834.30758,9045.822124,10836.28815,2173.617747,2.986486846,0.365006546,30524,9645.584,2
207 ,0,1190.001638,123.7828257,40435.52168,2734.354484,11484.45072,898.3535576,6.134452235,0.36818437,31181,9079.992,5
207 ,1,555.0008743,89.78026297,40863.62578,4047.633094,12180.49397,1557.897997,6.423421463,0.597331685,33406,9535.625,5
207 ,2,0,0,40169.93439,11709.16521,15245.41292,4176.168386,0,0,19408,9587.552,0
207 ,3,195.0005714,44.55972454,23832.25119,4163.420443,8056.65982,899.9375989,5.641016257,0.835339669,20278,6808.032,5
