StateCountyFips,CatID,CatVal,Year,Population
1001,0,0,2014,57483
1001,1,1,2014,14892
1001,1,2,2014,19745
1001,1,3,2014,15317
1001,1,4,2014,7529
1001,2,1,2014,27961
1001,2,2,2014,29522
1001,4,1,2014,43763
1001,4,2,2014,10402
1001,4,3,2014,1586
1001,4,4,2014,635
1001,4,5,2014,233
1001,4,6,2014,864
1003,0,0,2014,198023
1003,1,1,2014,44617
1003,1,2,2014,60830
1003,1,3,2014,57336
1003,1,4,2014,35240
1003,2,1,2014,96596
1003,2,2,2014,101427
1003,4,1,2014,164382
1003,4,2,2014,18092
1003,4,3,2014,9786
1003,4,4,2014,1807
1003,4,5,2014,1279
1003,4,6,2014,2677
1005,0,0,2014,26781
1005,1,1,2014,5479
1005,1,2,2014,9446
1005,1,3,2014,7773
1005,1,4,2014,4083
1005,2,1,2014,14427
1005,2,2,2014,12354
1005,4,1,2014,12320
1005,4,2,2014,12406
1005,4,3,2014,1615
1005,4,4,2014,159
1005,4,5,2014,58
1005,4,6,2014,223
1007,0,0,2014,23426
1007,1,1,2014,4908
1007,1,2,2014,8832
1007,1,3,2014,6503
1007,1,4,2014,3183
1007,2,1,2014,12804
1007,2,2,2014,10622
1007,4,1,2014,17441
1007,4,2,2014,5149
1007,4,3,2014,500
1007,4,4,2014,44
1007,4,5,2014,84
1007,4,6,2014,208
1009,0,0,2014,58947
1009,1,1,2014,14108
1009,1,2,2014,19135
1009,1,3,2014,16226
1009,1,4,2014,9478
1009,2,1,2014,29060
1009,2,2,2014,29887
1009,4,1,2014,51666
1009,4,2,2014,919
1009,4,3,2014,5288
1009,4,4,2014,172
1009,4,5,2014,286
1009,4,6,2014,616
1011,0,0,2014,10688
1011,1,1,2014,2127
1011,1,2,2014,3885
1011,1,3,2014,3191
1011,1,4,2014,1485
1011,2,1,2014,5887
1011,2,2,2014,4801
1011,4,1,2014,2561
1011,4,2,2014,7070
1011,4,3,2014,921
1011,4,4,2014,32
1011,4,5,2014,26
1011,4,6,2014,78
1013,0,0,2014,20519
1013,1,1,2014,4620
1013,1,2,2014,6485
1013,1,3,2014,5895
1013,1,4,2014,3519
1013,2,1,2014,9601
1013,2,2,2014,10918
1013,4,1,2014,10947
1013,4,2,2014,8860
1013,4,3,2014,251
1013,4,4,2014,225
1013,4,5,2014,74
1013,4,6,2014,162
1015,0,0,2014,118216
1015,1,1,2014,27091
1015,1,2,2014,39991
1015,1,3,2014,33361
1015,1,4,2014,17773
1015,2,1,2014,57065
1015,2,2,2014,61151
1015,4,1,2014,85663
1015,4,2,2014,24681
1015,4,3,2014,4510
1015,4,4,2014,1026
1015,4,5,2014,481
1015,4,6,2014,1855
1017,0,0,2014,33348
1017,1,1,2014,7095
1017,1,2,2014,10366
1017,1,3,2014,10064
