PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
100,1,4290,6.7,5.0,51715,34009,13231,9406,203,0.370,2586,539
100,2,5340,6.2,5.0,38494,29240,11759,9021,300,0.220,1290,363
100,3,7045,6.0,5.0,47084,35945,11260,9066,260,0.150,1547,276
100,4,5515,4.5,3.0,65211,45401,14582,10902,296,0.183,3327,670
101,0,73250,4.3,3.0,44861,31618,11241,8293,1281,0.050,659,119
101,1,16750,4.6,3.0,46079,30689,11733,8488,599,0.123,1551,261
101,2,17555,4.1,3.0,36180,27138,10881,8230,545,0.101,782,205
101,3,28920,4.3,3.0,45426,33340,10464,7921,847,0.072,931,156
101,4,10025,3.9,2.0,56474,38318,13359,9503,518,0.127,2680,473
102,0,76060,4.0,3.0,40227,29385,10328,7883,1202,0.040,582,117
102,1,15905,4.1,3.0,40678,27454,10660,7686,529,0.106,1381,332
102,2,18140,3.7,3.0,31790,24899,9645,7636,576,0.076,660,174
102,3,29545,4.2,3.0,39717,30183,9574,7462,764,0.062,702,136
102,4,12470,3.7,3.0,53973,39539,12874,9954,500,0.084,2321,387
103,0,37455,6.4,4.0,66874,47484,16945,12793,852,0.093,1217,229
103,1,8460,7.3,5.0,77195,52787,18645,13954,412,0.222,3029,505
103,2,8750,5.7,4.0,54098,43503,16069,12911,444,0.145,1503,356
103,3,13565,6.2,4.0,60977,45177,15266,11700,504,0.153,1598,351
103,4,6680,6.2,4.0,83135,55306,19469,13844,326,0.224,3887,691
104,0,60160,4.3,3.0,63752,48353,17084,13641,1915,0.061,1247,261
104,1,13085,4.2,3.0,65294,46328,16578,13123,855,0.129,3215,587
104,2,14315,4.3,3.0,58373,46996,17440,14225,948,0.100,1799,481
104,3,24500,4.5,3.0,63313,48112,16510,12928,1300,0.108,1953,421
104,4,8260,4.1,3.0,72183,55800,19064,15564,592,0.151,3584,704
105,0,14835,6.7,5.0,204675,178665,57982,49719,1286,0.241,7013,2338
105,1,3170,6.3,5.0,207437,179057,50726,43942,527,0.251,12354,3273
105,2,3745,6.9,5.0,210387,180745,60428,53967,618,0.482,13286,3346
105,3,6140,6.9,5.0,197518,171225,57599,49664,900,0.452,12070,4599
105,4,1780,6.3,5.0,212456,189605,67093,54416,429,0.541,19474,5743
106,0,3900,1.8,1.0,39339,32265,9681,8416,199,0.067,1565,265
106,1,665,1.4,1.0,27947,22092,7535,7035,77,0.078,2424,362
106,2,510,2.5,2.0,37406,28724,11630,10288,57,0.290,2758,675
106,3,1160,2.0,2.0,33532,29016,8555,7572,118,0.116,2437,417
106,4,1565,1.7,1.0,50067,45001,10944,9741,129,0.100,2750,467
107,0,6275,3.2,2.0,40622,33137,10112,8881,258,0.094,991,183
107,1,810,3.3,2.0,29853,22596,9501,8014,81,0.260,1669,511
107,2,1210,2.9,2.0,32118,26826,10044,8587,87,0.222,1575,450
107,3,2885,3.3,2.0,42775,36493,9741,8773,179,0.127,1462,237
