PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MedianCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MeanCost,MedianLOS
212,3,1309.98653,385.332297,34677,4400.163708,8786,4400.163708,9.442757684,1.206837567,28561,11288,7
212,4,0,0,77094,14726.96201,0,14726.96201,9.45188354,1.588528298,51264,0,6
213,0,131669.9135,9170.870539,47294,1901.618257,9910,1901.618257,11.45146489,0.283613774,35120,13061,10
213,1,43285.00288,5642.932658,54728,3657.166614,11377,3657.166614,11.88876216,0.530046379,41171,15105,10
213,2,23140.03179,2792.743489,35810,1583.967166,9623,1583.967166,10.78846308,0.374657967,28913,11715,9
213,3,50969.91068,6143.672596,41256,2582.786443,8701,2582.786443,11.7351429,0.454821001,32172,11019,10
213,4,14274.96818,2591.91981,65562,7013.976576,11584,7013.976576,10.18555033,0.913035797,46334,16474,7
214,0,31889.96284,971.127208,37799,1386.285269,6445,1386.285269,4.616336554,0.116782046,22124,10065,3
214,1,7415.003234,447.4389831,29011,1386.803578,6251,1386.803578,4.571138906,0.237048077,19685,8255,3
214,2,5894.992076,294.9325269,24499,1123.402069,5859,1123.402069,4.30025123,0.242287269,17628,8190,3
214,3,9394.984881,439.9406458,29831,1364.50545,5382,1364.50545,4.651410271,0.149635515,18810,8059,3
214,4,9184.982644,679.9657663,63051,3668.092651,9737,3668.092651,4.8198148,0.276152799,38412,15083,3
215,0,49919.9673,4760.952572,58176,3727.872479,10894,3727.872479,12.39113397,0.402805379,40394,15219,10
215,1,6560.00313,1310.916214,49114,7489.410573,9622,7489.410573,12.0297409,0.850935093,32206,13978,9
215,2,8319.992167,2343.102503,32422,4196.518829,8146,4196.518829,11.14362846,1.016334218,23662,10877,9
215,3,10639.99048,2144.273108,36966,2424.131722,8709,2424.131722,10.58506123,0.552497712,30710,10206,9
215,4,24399.98152,3295.471373,79398,4963.948531,14564,4963.948531,13.70473974,0.652017193,61296,19374,11
