DRGID,CostToChargeRatio,Year
411,0.96491,2011
412,0.96491,2011
413,0.96491,2011
414,0.96491,2011
415,0.96491,2011
416,0.93357,2011
417,0.926,2011
418,0.91746,2011
419,0.90755,2011
420,0.96491,2011
421,0.96491,2011
422,0.96491,2011
423,0.96491,2011
424,0.96491,2011
425,0.96491,2011
432,0.95271,2011
433,0.93581,2011
434,0.96491,2011
435,0.93264,2011
436,0.91038,2011
437,0.96491,2011
438,0.9343,2011
439,0.93172,2011
440,0.90676,2011
441,0.95018,2011
442,0.95327,2011
443,0.91957,2011
444,0.92101,2011
445,0.90367,2011
446,0.87074,2011
453,0.96491,2011
454,0.94718,2011
455,0.94243,2011
456,0.96491,2011
457,0.94369,2011
458,0.93135,2011
459,0.93804,2011
460,0.93933,2011
461,0.96491,2011
462,0.94186,2011
463,0.96491,2011
464,1.00329,2011
465,0.99875,2011
466,0.96491,2011
467,0.94194,2011
468,0.9529,2011
469,0.96102,2011
470,0.94379,2011
471,0.96491,2011
472,0.95005,2011
473,0.93584,2011
474,0.96491,2011
475,0.96491,2011
476,0.96491,2011
477,0.96491,2011
478,0.94877,2011
479,0.95289,2011
480,0.9676,2011
481,0.96204,2011
482,0.96172,2011
483,0.92519,2011
484,0.91552,2011
485,0.96491,2011
486,0.96491,2011
487,0.96491,2011
488,0.96491,2011
489,0.96807,2011
490,0.97746,2011
491,0.98095,2011
492,0.9618,2011
493,0.95976,2011
494,0.95008,2011
495,0.96491,2011
496,0.98707,2011
497,0.9797,2011
498,0.96491,2011
499,0.96491,2011
500,0.96491,2011
501,0.98983,2011
502,0.97932,2011
503,0.96491,2011
504,0.96491,2011
505,0.96319,2011
506,0.96491,2011
507,0.96491,2011
508,0.96491,2011
509,0.96491,2011
510,0.96491,2011
511,0.96491,2011
512,0.93856,2011
513,0.96491,2011
514,0.98635,2011
515,0.96491,2011
516,0.96013,2011
517,0.95065,2011
533,0.96491,2011
534,0.96491,2011
535,0.96491,2011
536,1.01601,2011
537,0.96491,2011
538,0.96491,2011
539,0.96491,2011
540,0.96491,2011
541,0.96491,2011
542,0.95169,2011
543,0.934,2011
544,0.96491,2011
545,0.94025,2011
546,0.95299,2011
547,0.93779,2011
548,0.96491,2011
549,0.96491,2011
550,0.96491,2011
551,0.96581,2011
552,0.94073,2011
553,0.96491,2011
554,0.99822,2011
555,0.96491,2011
556,0.93579,2011
557,0.96491,2011
558,0.97415,2011
559,0.96491,2011
560,0.96491,2011
561,1.05365,2011
562,0.96491,2011
563,0.9668,2011
564,0.96491,2011
565,0.96491,2011
566,0.96491,2011
573,0.96491,2011
574,1.03346,2011
575,1.01548,2011
576,0.96491,2011
577,1.00304,2011
578,1.0022,2011
579,0.96491,2011
580,0.97333,2011
581,0.95325,2011
582,0.94442,2011
583,0.94599,2011
584,0.96491,2011
585,0.97911,2011
592,0.96491,2011
593,1.04316,2011
594,0.96491,2011
595,0.96491,2011
596,1.00015,2011
597,0.96491,2011
598,0.96491,2011
599,0.96491,2011
600,0.96491,2011
601,0.96491,2011
602,1.01027,2011
603,1.04062,2011
604,0.96491,2011
605,0.91159,2011
606,0.96491,2011
607,1.00957,2011
614,0.96787,2011
615,0.96635,2011
616,0.96491,2011
617,0.99901,2011
618,0.96491,2011
619,0.96491,2011
620,0.93718,2011
621,0.95017,2011
622,0.96491,2011
623,0.96491,2011
624,0.96491,2011
625,0.96491,2011
626,0.97844,2011
627,0.98764,2011
628,0.96491,2011
629,0.96491,2011
630,0.96491,2011
637,0.97726,2011
638,0.9903,2011
639,0.98936,2011
640,0.99017,2011
641,0.99799,2011
642,0.96051,2011
643,0.96491,2011
644,0.97141,2011
645,0.93301,2011
652,0.88576,2011
653,0.96491,2011
654,0.99487,2011
655,0.96491,2011
656,0.97892,2011
657,0.99158,2011
658,0.99679,2011
659,0.96777,2011
660,0.97366,2011
661,0.9791,2011
662,0.96491,2011
663,0.96491,2011
664,0.96597,2011
665,0.96491,2011
666,0.96491,2011
667,0.96491,2011
668,0.96491,2011
669,0.9379,2011
670,0.95662,2011
671,0.96491,2011
672,0.96491,2011
673,0.98173,2011
674,0.97986,2011
675,0.96491,2011
682,0.991,2011
683,0.99625,2011
684,0.97639,2011
685,0.99396,2011
686,0.96491,2011
687,0.96491,2011
688,0.96491,2011
689,0.99459,2011
690,0.97809,2011
691,0.96491,2011
692,0.96491,2011
693,0.96491,2011
694,0.88362,2011
695,0.96491,2011
696,0.96607,2011
697,0.96491,2011
698,0.9844,2011
699,0.98273,2011
700,0.96656,2011
707,0.9647,2011
708,0.95461,2011
709,0.96491,2011
710,0.96491,2011
711,0.96491,2011
712,0.96491,2011
713,0.99997,2011
714,0.99912,2011
715,0.96491,2011
716,0.96491,2011
717,0.96491,2011
718,0.96491,2011
722,0.96491,2011
723,0.96491,2011
724,0.96491,2011
725,0.96491,2011
726,0.96491,2011
727,0.96491,2011
728,0.99282,2011
729,0.96491,2011
730,0.96491,2011
734,0.97305,2011
735,0.96293,2011
736,0.96491,2011
737,0.96908,2011
738,0.96491,2011
739,0.96491,2011
740,0.97022,2011
741,0.95606,2011
742,0.95053,2011
743,0.94806,2011
744,0.96491,2011
745,0.96491,2011
746,0.96491,2011
747,0.96183,2011
748,0.94276,2011
749,0.96491,2011
750,0.96491,2011
754,0.96491,2011
755,0.90385,2011
756,0.96491,2011
757,0.96491,2011
758,0.96491,2011
759,0.91409,2011
760,0.90624,2011
761,0.89506,2011
765,1.16694,2011
766,1.18654,2011
767,1.15838,2011
768,0.96491,2011
769,0.96491,2011
770,0.97376,2011
774,1.31759,2011
775,1.38281,2011
776,1.01554,2011
777,0.9305,2011
778,1.31276,2011
779,1.11131,2011
780,0.96491,2011
781,1.13461,2011
782,1.24534,2011
789,1.10854,2011
790,1.28317,2011
791,1.3332,2011
792,1.36494,2011
793,1.22606,2011
794,1.23991,2011
795,1.27858,2011
799,0.96491,2011
800,0.96491,2011
801,0.96491,2011
802,0.96491,2011
803,0.96491,2011
804,0.96491,2011
808,0.93511,2011
809,0.94764,2011
810,0.92858,2011
811,0.95489,2011
812,0.96303,2011
813,0.88289,2011
814,0.96491,2011
815,0.96491,2011
