StateCountyFips,CatID,CatVal,Year,Population
1001,0,0,2011,55267
1001,1,1,2011,14348
1001,1,2,2011,19785
1001,1,3,2011,14361
1001,1,4,2011,6773
1001,2,1,2011,26959
1001,2,2,2011,28308
1001,4,1,2011,42225
1001,4,2,2011,10128
1001,4,3,2011,1438
1001,4,4,2011,529
1001,4,5,2011,218
1001,4,6,2011,729
1003,0,0,2011,186717
1003,1,1,2011,42071
1003,1,2,2011,59835
1003,1,3,2011,52934
1003,1,4,2011,31877
1003,2,1,2011,91208
1003,2,2,2011,95509
1003,4,1,2011,155435
1003,4,2,2011,17878
1003,4,3,2011,8457
1003,4,4,2011,1475
1003,4,5,2011,1137
1003,4,6,2011,2335
1005,0,0,2011,27119
1005,1,1,2011,5857
1005,1,2,2011,9761
1005,1,3,2011,7535
1005,1,4,2011,3966
1005,2,1,2011,14497
1005,2,2,2011,12622
1005,4,1,2011,12659
1005,4,2,2011,12585
1005,4,3,2011,1450
1005,4,4,2011,145
1005,4,5,2011,67
1005,4,6,2011,213
1007,0,0,2011,22766
1007,1,1,2011,4943
1007,1,2,2011,8638
1007,1,3,2011,6166
1007,1,4,2011,3019
1007,2,1,2011,12262
1007,2,2,2011,10504
1007,4,1,2011,16966
1007,4,2,2011,5058
1007,4,3,2011,453
1007,4,4,2011,34
1007,4,5,2011,68
1007,4,6,2011,187
1009,0,0,2011,57677
1009,1,1,2011,13886
1009,1,2,2011,19595
1009,1,3,2011,15525
1009,1,4,2011,8671
1009,2,1,2011,28520
1009,2,2,2011,29157
1009,4,1,2011,50758
1009,4,2,2011,970
1009,4,3,2011,4936
1009,4,4,2011,137
1009,4,5,2011,288
1009,4,6,2011,588
1011,0,0,2011,10542
1011,1,1,2011,2288
1011,1,2,2011,3780
1011,1,3,2011,3039
1011,1,4,2011,1435
1011,2,1,2011,5721
1011,2,2,2011,4821
1011,4,1,2011,2412
1011,4,2,2011,7204
1011,4,3,2011,817
1011,4,4,2011,25
1011,4,5,2011,22
1011,4,6,2011,62
1013,0,0,2011,20650
1013,1,1,2011,4827
1013,1,2,2011,6542
1013,1,3,2011,5759
1013,1,4,2011,3522
1013,2,1,2011,9686
1013,2,2,2011,10964
1013,4,1,2011,11104
1013,4,2,2011,8916
1013,4,3,2011,224
1013,4,4,2011,191
1013,4,5,2011,68
1013,4,6,2011,147
1015,0,0,2011,117797
1015,1,1,2011,26977
1015,1,2,2011,41491
1015,1,3,2011,32181
1015,1,4,2011,17148
1015,2,1,2011,56688
1015,2,2,2011,61109
1015,4,1,2011,86380
1015,4,2,2011,24273
1015,4,3,2011,4033
1015,4,4,2011,956
1015,4,5,2011,490
1015,4,6,2011,1665
1017,0,0,2011,33939
1017,1,1,2011,7485
1017,1,2,2011,10921
1017,1,3,2011,9774
1017,1,4,2011,5759
1017,2,1,2011,16219
1017,2,2,2011,17720
1017,4,1,2011,19721
1017,4,2,2011,13061
1017,4,3,2011,569
1017,4,4,2011,191
1017,4,5,2011,59
1017,4,6,2011,338
1019,0,0,2011,26057
1019,1,1,2011,5417
1019,1,2,2011,7866
1019,1,3,2011,7979
1019,1,4,2011,4795
1019,2,1,2011,12917
1019,2,2,2011,13140
1019,4,1,2011,23891
1019,4,2,2011,1284
1019,4,3,2011,363
1019,4,4,2011,55
1019,4,5,2011,127
1019,4,6,2011,337
1021,0,0,2011,43895
1021,1,1,2011,10782
1021,1,2,2011,15275
1021,1,3,2011,11652
1021,1,4,2011,6186
1021,2,1,2011,21622
1021,2,2,2011,22273
1021,4,1,2011,35476
1021,4,2,2011,4361
1021,4,3,2011,3411
1021,4,4,2011,142
1021,4,5,2011,149
1021,4,6,2011,356
1023,0,0,2011,13609
1023,1,1,2011,2971
1023,1,2,2011,3985
1023,1,3,2011,4062
1023,1,4,2011,2591
1023,2,1,2011,6495
1023,2,2,2011,7114
1023,4,1,2011,7536
1023,4,2,2011,5884
1023,4,3,2011,86
1023,4,4,2011,21
1023,4,5,2011,18
1023,4,6,2011,64
1025,0,0,2011,25695
1025,1,1,2011,6154
1025,1,2,2011,8126
1025,1,3,2011,7156
1025,1,4,2011,4259
1025,2,1,2011,12111
1025,2,2,2011,13584
1025,4,1,2011,13755
1025,4,2,2011,11263
1025,4,3,2011,309
1025,4,4,2011,90
1025,4,5,2011,108
1025,4,6,2011,170
1027,0,0,2011,13862
1027,1,1,2011,3033
1027,1,2,2011,4317
1027,1,3,2011,3927
1027,1,4,2011,2585
1027,2,1,2011,6775
1027,2,2,2011,7087
1027,4,1,2011,11086
1027,4,2,2011,2075
1027,4,3,2011,398
1027,4,4,2011,25
1027,4,5,2011,57
1027,4,6,2011,221
1029,0,0,2011,14835
1029,1,1,2011,3436
1029,1,2,2011,4787
1029,1,3,2011,4206
1029,1,4,2011,2406
1029,2,1,2011,7359
1029,2,2,2011,7476
1029,4,1,2011,13673
1029,4,2,2011,585
1029,4,3,2011,355
1029,4,4,2011,29
1029,4,5,2011,51
1029,4,6,2011,142
1031,0,0,2011,50526
1031,1,1,2011,12067
1031,1,2,2011,17951
1031,1,3,2011,13102
1031,1,4,2011,7406
1031,2,1,2011,24933
1031,2,2,2011,25593
1031,4,1,2011,36371
1031,4,2,2011,8614
1031,4,3,2011,3218
1031,4,4,2011,705
1031,4,5,2011,614
1031,4,6,2011,1004
1033,0,0,2011,54512
1033,1,1,2011,11824
1033,1,2,2011,17514
1033,1,3,2011,15596
1033,1,4,2011,9578
1033,2,1,2011,26200
1033,2,2,2011,28312
1033,4,1,2011,43233
1033,4,2,2011,8817
1033,4,3,2011,1212
1033,4,4,2011,250
1033,4,5,2011,267
1033,4,6,2011,733
1035,0,0,2011,13105
1035,1,1,2011,2908
1035,1,2,2011,3847
1035,1,3,2011,3912
1035,1,4,2011,2438
1035,2,1,2011,6362
1035,2,2,2011,6743
1035,4,1,2011,6663
1035,4,2,2011,6060
1035,4,3,2011,196
1035,4,4,2011,23
1035,4,5,2011,47
1035,4,6,2011,116
1037,0,0,2011,10713
1037,1,1,2011,2224
1037,1,2,2011,3363
1037,1,3,2011,3636
1037,1,4,2011,1490
1037,2,1,2011,5350
1037,2,2,2011,5363
1037,4,1,2011,7030
1037,4,2,2011,3291
1037,4,3,2011,239
1037,4,4,2011,18
1037,4,5,2011,44
1037,4,6,2011,91
1039,0,0,2011,38058
1039,1,1,2011,8442
1039,1,2,2011,11728
1039,1,3,2011,10821
1039,1,4,2011,7067
1039,2,1,2011,18428
1039,2,2,2011,19630
1039,4,1,2011,31798
1039,4,2,2011,4858
1039,4,3,2011,530
1039,4,4,2011,175
1039,4,5,2011,205
1039,4,6,2011,492
1041,0,0,2011,13911
1041,1,1,2011,3277
1041,1,2,2011,4414
1041,1,3,2011,3998
1041,1,4,2011,2222
1041,2,1,2011,6718
1041,2,2,2011,7193
1041,4,1,2011,9833
1041,4,2,2011,3339
1041,4,3,2011,236
1041,4,4,2011,247
1041,4,5,2011,61
1041,4,6,2011,195
1043,0,0,2011,80536
1043,1,1,2011,18244
1043,1,2,2011,26837
1043,1,3,2011,22397
1043,1,4,2011,13058
1043,2,1,2011,39852
1043,2,2,2011,40684
1043,4,1,2011,74312
1043,4,2,2011,1059
1043,4,3,2011,3606
1043,4,4,2011,378
1043,4,5,2011,391
1043,4,6,2011,790
1045,0,0,2011,50044
1045,1,1,2011,12200
1045,1,2,2011,17944
1045,1,3,2011,12998
1045,1,4,2011,6902
1045,2,1,2011,24626
1045,2,2,2011,25418
1045,4,1,2011,35466
1045,4,2,2011,9648
1045,4,3,2011,2802
1045,4,4,2011,617
1045,4,5,2011,364
1045,4,6,2011,1147
1047,0,0,2011,43332
1047,1,1,2011,11308
1047,1,2,2011,13757
1047,1,3,2011,11968
1047,1,4,2011,6299
1047,2,1,2011,20051
1047,2,2,2011,23281
1047,4,1,2011,12548
1047,4,2,2011,29916
1047,4,3,2011,343
1047,4,4,2011,167
1047,4,5,2011,83
1047,4,6,2011,275
1049,0,0,2011,71375
1049,1,1,2011,18118
1049,1,2,2011,24687
1049,1,3,2011,18534
1049,1,4,2011,10036
1049,2,1,2011,35218
1049,2,2,2011,36157
